fid,Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
2051,"1358092",,Croatia,Europe,SWBD,"1","0",0.230000000000000,2.250000000000000,1.310000000000000,0.390000000000000,0.000000000000000,"3",1.700000000000000,0.011000000000000,411.300000000000011,"104",0.510000000000000,1.200000000000000,16.952082999999998,45.516264999999997
2052,"1358158",,Italy,Europe,SWBD,"1","0",0.340000000000000,3.290000000000000,1.580000000000000,0.760000000000000,0.000000000000000,"3",2.200000000000000,0.121000000000000,73.099999999999994,"109",0.810000000000000,5.900000000000000,9.453556000000001,45.498587999999998
2053,"1358170",,Italy,Europe,SWBD,"1","0",0.130000000000000,1.550000000000000,1.210000000000000,0.300000000000000,0.000000000000000,"3",2.300000000000000,0.638000000000000,5.500000000000000,"113",1.200000000000000,37.299999999999997,10.261502000000000,45.496656999999999
2054,"1358184",,Italy,Europe,SWBD,"1","0",0.490000000000000,3.240000000000000,1.310000000000000,0.680000000000000,0.000000000000000,"3",1.400000000000000,0.002000000000000,3951.699999999999818,"-1",0.280000000000000,0.200000000000000,12.492708000000000,45.494466000000003
2055,"1358187",,Italy,Europe,SWBD,"1","0",0.220000000000000,1.960000000000000,1.180000000000000,0.520000000000000,0.000000000000000,"3",2.400000000000000,0.658000000000000,9.199999999999999,"111",1.070000000000000,38.500000000000000,10.255558000000001,45.493507000000001
2056,"1358208",,Italy,Europe,SWBD,"1","0",0.160000000000000,2.230000000000000,1.590000000000000,1.240000000000000,0.000000000000000,"3",8.000000000000000,0.105000000000000,137.099999999999994,"2404",14.730000000000000,4.100000000000000,7.395551000000000,45.488858999999998
2057,"1358218",,Italy,Europe,SWBD,"1","0",0.160000000000000,2.010000000000000,1.400000000000000,0.500000000000000,0.000000000000000,"3",3.100000000000000,0.241000000000000,23.899999999999999,"108",1.980000000000000,10.699999999999999,9.285090000000000,45.486471999999999
2058,"1358219",,Italy,Europe,SWBD,"1","0",0.170000000000000,1.810000000000000,1.250000000000000,0.320000000000000,0.000000000000000,"3",1.900000000000000,0.831000000000000,4.400000000000000,"113",0.750000000000000,49.200000000000003,10.253432999999999,45.486269000000000
2059,"1358221",,France,Europe,SWBD,"1","0",0.220000000000000,2.270000000000000,1.350000000000000,0.560000000000000,0.000000000000000,"3",2.500000000000000,27.565000000000001,0.200000000000000,"347",1.200000000000000,1863.000000000000000,6.292215000000000,45.485593000000001
2060,"1358222",,Italy,Europe,SWBD,"2","3399",0.230000000000000,1.990000000000000,1.160000000000000,24.000000000000000,24.000000000000000,"2",103.000000000000000,0.423000000000000,656.700000000000045,"1869",21.140000000000001,16.399999999999999,7.368750000000000,45.485920000000000
2061,"1358228",,Italy,Europe,SWBD,"1","0",0.260000000000000,2.320000000000000,1.290000000000000,1.540000000000000,0.000000000000000,"3",6.000000000000000,0.070000000000000,254.599999999999994,"268",6.960000000000000,2.700000000000000,7.882507000000000,45.485416999999998
2062,"1358234",,France,Europe,SWBD,"2","3400",0.250000000000000,2.010000000000000,1.130000000000000,10.500000000000000,10.500000000000000,"2",41.700000000000003,0.243000000000000,500.100000000000023,"2438",12.150000000000000,11.000000000000000,7.007509000000000,45.483898000000003
