Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
533.8,3.30,1334.5,1.8413
534,3.40,1335,1.8362
534.2,3.50,1335.5,1.8101
534.4,3.40,1336,1.8296
534.6,3.40,1336.5,1.8481
534.8,3.40,1337,1.8461
535,3.40,1337.5,1.8368
535.2,3.20,1338,1.8329
535.4,3.20,1338.5,1.8486
535.6,3.30,1339,1.8459
535.8,3.20,1339.5,1.8585
536,3.10,1340,1.85
536.2,3.20,1340.5,1.8527
536.4,3.30,1341,1.8387
536.6,3.40,1341.5,1.8597
536.8,3.20,1342,1.8614
537,3.20,1342.5,1.8751
537.2,3.20,1343,1.8607
537.4,3.40,1343.5,1.8537
537.6,3.40,1344,1.8502
537.8,3.20,1344.5,1.8353
538,3.10,1345,1.8436
538.2,3.00,1345.5,1.8285
538.4,3.00,1346,1.8669
538.6,3.20,1346.5,1.8683
538.8,3.30,1347,1.8821
539,3.20,1347.5,1.8558
539.2,3.10,1348,1.875
539.4,3.10,1348.5,1.8837
539.6,3.20,1349,1.8749
539.8,3.40,1349.5,1.871
540,3.40,1350,1.8603
540.2,3.00,1350.5,1.8571
540.4,2.70,1351,1.8943
540.6,2.40,1351.5,1.8814
540.8,2.30,1352,1.8806
541,2.40,1352.5,1.8895
541.2,2.60,1353,1.8926
541.4,3.00,1353.5,1.8855
541.6,3.40,1354,1.8958
541.8,3.40,1354.5,1.9029
542,3.40,1355,1.8928
542.2,3.50,1355.5,1.8832
542.4,3.50,1356,1.8971
542.6,3.40,1356.5,1.9026
542.8,3.40,1357,1.887
543,3.40,1357.5,1.8839
543.2,3.10,1358,1.9045
543.4,2.90,1358.5,1.8948
543.6,3.00,1359,1.886
543.8,3.10,1359.5,1.8647
544,3.00,1360,1.8804
544.2,2.90,1360.5,1.9002
544.4,2.90,1361,1.9078
544.6,3.00,1361.5,1.919
544.8,3.20,1362,1.9314
545,3.20,1362.5,1.9356
545.2,3.50,1363,1.9383
545.4,3.60,1363.5,1.9484
545.6,3.60,1364,1.9231
545.8,3.30,1364.5,1.8993
546,3.20,1365,1.8718
546.2,3.20,1365.5,1.8494
546.4,3.40,1366,1.8871
546.6,3.50,1366.5,1.872
546.8,3.80,1367,1.8851
547,4.20,1367.5,1.8747
547.2,4.50,1368,1.8782
547.4,4.60,1368.5,1.913
547.6,4.40,1369,1.9049
547.8,4.10,1369.5,1.9029
548,4.00,1370,1.9064
548.2,4.30,1370.5,1.9037
548.4,4.60,1371,1.9263
548.6,4.50,1371.5,1.9493
548.8,4.40,1372,1.9472
549,4.50,1372.5,1.9602
549.2,4.80,1373,1.9276
549.4,5.00,1373.5,1.9252
549.6,5.20,1374,1.9412
549.8,5.20,1374.5,1.9503
550,5.00,1375,1.9309
550.2,4.60,1375.5,1.9393
550.4,4.70,1376,1.8452
550.6,5.00,,
550.8,5.00,,
551,4.80,,
551.2,4.70,,
551.4,4.80,,
551.6,5.00,,
551.8,5.20,,
552,5.10,,
552.2,5.10,,
552.4,5.10,,
552.6,5.30,,
552.8,5.50,,
553,5.60,,
553.2,5.70,,
553.4,5.50,,
553.6,5.60,,
553.8,5.80,,
554,6.00,,
554.2,6.10,,
554.4,6.10,,
554.6,6.10,,
554.8,5.80,,
555,5.50,,
555.2,5.30,,
555.4,5.10,,
555.6,4.60,,
555.8,4.30,,
556,4.10,,
556.2,4.10,,
556.4,4.20,,
556.6,4.60,,
556.8,4.70,,
557,4.90,,
557.2,4.90,,
557.4,4.90,,
557.6,4.90,,
557.8,5.00,,
558,5.40,,
558.2,5.70,,
558.4,5.80,,
558.6,5.70,,
558.8,5.60,,
559,5.40,,
559.2,5.50,,
559.4,5.30,,
559.6,5.10,,
559.8,5.00,,
560,4.80,,
560.2,4.80,,
560.4,4.60,,
560.6,5.60,,
560.8,4.60,,
561,4.80,,
561.2,5.00,,
561.4,5.20,,
561.6,5.20,,
561.8,5.30,,
562,5.00,,
562.2,4.70,,
562.4,4.60,,
562.6,4.60,,
562.8,4.50,,
563,4.40,,
563.2,4.40,,
563.4,4.30,,
563.6,4.40,,
563.8,4.30,,
564,4.40,,
564.2,4.40,,
564.4,4.40,,
564.6,4.40,,
564.8,4.50,,
565,4.40,,
565.2,4.20,,
565.4,4.20,,
565.6,4.20,,
565.8,4.20,,
566,4.40,,
566.2,4.20,,
566.4,4.20,,
566.6,4.20,,
566.8,4.20,,
567,4.40,,
567.2,4.60,,
567.4,4.80,,
567.6,5.00,,
567.8,5.10,,
568,5.20,,
568.2,5.20,,
568.4,5.00,,
568.6,4.70,,
568.8,4.50,,
569,4.40,,
569.2,4.50,,
569.4,4.40,,
569.6,4.20,,
569.8,3.90,,
570,3.80,,
570.2,3.90,,
570.4,4.00,,
570.6,4.00,,
570.8,4.00,,
571,3.90,,
571.2,3.60,,
571.4,3.30,,
571.6,3.20,,
571.8,3.30,,
572,3.40,,
572.2,3.80,,
572.4,4.10,,
572.6,4.00,,
572.8,4.00,,
573,3.80,,
573.2,3.70,,
573.4,3.50,,
573.6,3.50,,
573.8,3.60,,
574,3.60,,
574.2,3.50,,
574.4,3.50,,
574.6,3.60,,
574.8,3.70,,
575,3.80,,
575.2,4.00,,
575.4,3.90,,
575.6,4.00,,
575.8,4.10,,
576,4.30,,
576.2,4.30,,
576.4,4.60,,
576.6,4.70,,
576.8,4.50,,
577,4.30,,
577.2,4.30,,
577.4,4.40,,
577.6,4.40,,
577.8,4.50,,
578,4.40,,
578.2,4.50,,
578.4,4.50,,
578.6,4.40,,
578.8,4.30,,
579,4.30,,
579.2,4.20,,
579.4,4.40,,
579.6,4.40,,
579.8,4.60,,
580,4.50,,
580.2,4.60,,
580.4,4.40,,
580.6,4.40,,
580.8,4.40,,
581,4.40,,
581.2,4.70,,
581.4,4.80,,
581.6,4.50,,
581.8,4.20,,
582,4.10,,
582.2,4.00,,
582.4,3.70,,
582.6,1.70,,
582.8,2.10,,
583,2.40,,
583.2,2.60,,
583.4,2.80,,
583.6,3.00,,
583.8,3.30,,
584,3.40,,
584.2,3.40,,
584.4,3.40,,
584.6,3.60,,
584.8,3.70,,
585,3.70,,
585.2,3.50,,
585.4,3.30,,
585.6,3.10,,
585.8,2.90,,
586,2.70,,
586.2,2.50,,
586.4,2.60,,
586.6,2.80,,
586.8,2.90,,
587,3.10,,
587.2,3.20,,
587.4,3.40,,
587.6,3.40,,
587.8,3.40,,
588,3.50,,
588.2,3.60,,
588.4,3.60,,
588.6,3.60,,
588.8,3.60,,
589,3.80,,
589.2,4.10,,
589.4,4.20,,
589.6,4.10,,
589.8,4.00,,
590,3.90,,
590.2,4.00,,
590.4,4.00,,
590.6,4.10,,
590.8,3.80,,
591,3.60,,
591.2,3.40,,
591.4,3.50,,
591.6,3.60,,
591.8,3.80,,
592,4.00,,
592.2,4.00,,
592.4,3.90,,
592.6,4.00,,
592.8,4.00,,
593,4.10,,
593.2,4.00,,
593.4,4.10,,
593.6,4.40,,
593.8,4.70,,
594,4.80,,
594.2,4.80,,
594.4,4.90,,
594.6,4.70,,
594.8,4.50,,
595,4.30,,
595.2,4.10,,
595.4,4.30,,
595.6,4.40,,
595.8,4.40,,
596,4.40,,
596.2,4.60,,
596.4,4.30,,
596.6,4.40,,
596.8,4.40,,
597,4.50,,
597.2,4.40,,
597.4,4.30,,
597.6,4.00,,
597.8,3.80,,
598,3.90,,
598.2,3.70,,
598.4,3.70,,
598.6,3.90,,
598.8,4.30,,
599,4.80,,
599.2,5.20,,
599.4,5.40,,
599.6,5.30,,
599.8,5.30,,
600,5.00,,
600.2,4.80,,
600.4,4.90,,
600.6,4.90,,
600.8,4.60,,
601,4.60,,
601.2,4.60,,
601.4,4.30,,
601.6,4.20,,
601.8,4.40,,
602,4.70,,
602.2,5.00,,
602.4,5.00,,
602.6,4.90,,
602.8,4.90,,
603,5.00,,
603.2,4.80,,
603.4,4.50,,
603.6,4.20,,
603.8,4.20,,
604,4.50,,
604.2,4.80,,
604.4,5.00,,
604.6,5.10,,
604.8,5.60,,
605,6.00,,
605.2,6.20,,
605.4,6.00,,
605.6,5.90,,
605.8,5.70,,
606,5.60,,
606.2,5.70,,
606.4,6.00,,
606.6,6.20,,
606.8,6.20,,
607,6.10,,
607.2,5.70,,
607.4,5.00,,
607.6,4.50,,
607.8,4.00,,
608,3.80,,
608.2,4.00,,
608.4,4.20,,
608.6,4.60,,
608.8,4.80,,
609,5.00,,
609.2,5.20,,
609.4,5.30,,
609.6,5.40,,
609.8,5.60,,
610,5.80,,
610.2,5.90,,
610.4,5.80,,
610.6,5.60,,
610.8,5.00,,
611,4.70,,
611.2,4.80,,
611.4,4.70,,
611.6,4.70,,
611.8,4.80,,
612,4.80,,
612.2,4.80,,
612.4,4.90,,
612.6,4.60,,
612.8,4.40,,
613,4.10,,
613.2,3.80,,
613.4,3.80,,
613.6,4.20,,
613.8,4.20,,
614,4.00,,
614.2,4.00,,
614.4,3.80,,
614.6,3.80,,
614.8,3.90,,
615,4.20,,
615.2,4.40,,
615.4,4.60,,
615.6,4.60,,
615.8,4.60,,
616,4.60,,
616.2,5.00,,
616.4,5.30,,
616.6,5.70,,
616.8,5.20,,
617,5.10,,
617.2,5.20,,
617.4,5.20,,
617.6,5.00,,
617.8,5.00,,
618,4.90,,
618.2,4.60,,
618.4,4.20,,
618.6,4.10,,
618.8,3.80,,
619,3.70,,
619.2,3.90,,
619.4,3.80,,
619.6,3.80,,
619.8,4.10,,
620,4.10,,
620.2,4.00,,
620.4,4.00,,
620.6,3.90,,
620.8,3.50,,
621,3.30,,
621.2,3.50,,
621.4,3.70,,
621.6,3.70,,
621.8,3.80,,
622,3.60,,
622.2,3.40,,
622.4,3.20,,
622.6,3.30,,
622.8,3.40,,
623,3.40,,
623.2,3.60,,
623.4,3.60,,
623.6,3.20,,
623.8,3.00,,
624,3.00,,
624.2,2.80,,
624.4,2.70,,
624.6,2.90,,
624.8,3.20,,
625,3.40,,
625.2,3.40,,
625.4,3.40,,
625.6,3.40,,
625.8,3.60,,
626,3.20,,
626.2,3.20,,
626.4,3.20,,
626.6,3.20,,
626.8,3.40,,
627,3.50,,
627.2,3.60,,
627.4,3.30,,
627.6,3.00,,
627.8,2.80,,
628,2.60,,
628.2,2.50,,
628.4,2.30,,
628.6,2.30,,
628.8,2.60,,
629,2.60,,
629.2,2.60,,
629.4,2.80,,
629.6,2.80,,
629.8,2.70,,
630,2.60,,
630.2,2.40,,
630.4,2.20,,
630.6,2.10,,
630.8,2.10,,
631,2.10,,
631.2,2.20,,
631.4,2.40,,
631.6,3.30,,
631.8,3.10,,
632,3.20,,
632.2,3.20,,
632.4,3.20,,
632.6,3.20,,
632.8,3.00,,
633,2.80,,
633.2,2.70,,
633.4,2.70,,
633.6,2.70,,
633.8,2.70,,
634,2.70,,
634.2,2.70,,
634.4,2.80,,
634.6,2.90,,
634.8,2.90,,
635,2.80,,
635.2,2.70,,
635.4,2.40,,
635.6,2.20,,
635.8,2.10,,
636,2.00,,
636.2,2.20,,
636.4,2.30,,
636.6,2.50,,
636.8,2.70,,
637,2.70,,
637.2,2.70,,
637.4,2.80,,
637.6,3.00,,
637.8,2.70,,
638,2.70,,
638.2,2.80,,
638.4,2.90,,
638.6,2.70,,
638.8,2.60,,
639,2.60,,
639.2,2.80,,
639.4,3.00,,
639.6,2.90,,
639.8,2.70,,
640,2.50,,
640.2,2.70,,
640.4,3.00,,
640.6,3.20,,
640.8,3.50,,
641,3.60,,
641.2,3.40,,
641.4,3.20,,
641.6,2.90,,
641.8,2.70,,
642,2.50,,
642.2,2.20,,
642.4,2.10,,
642.6,2.10,,
642.8,2.10,,
643,2.10,,
643.2,2.10,,
643.4,2.10,,
643.6,2.20,,
643.8,2.50,,
644,2.50,,
644.2,2.50,,
644.4,2.60,,
644.6,2.80,,
644.8,2.90,,
645,3.20,,
645.2,3.20,,
645.4,2.80,,
645.6,2.60,,
645.8,2.30,,
646,2.10,,
646.2,2.20,,
646.4,2.60,,
646.6,2.80,,
646.8,2.80,,
647,2.80,,
647.2,2.70,,
647.4,2.60,,
647.6,2.60,,
647.8,2.60,,
648,2.70,,
648.2,2.80,,
648.4,2.80,,
648.6,2.60,,
648.8,2.60,,
649,2.90,,
649.2,3.20,,
649.4,3.40,,
649.6,3.30,,
649.8,3.20,,
650,3.00,,
650.2,2.90,,
650.4,3.00,,
650.6,3.00,,
650.8,3.10,,
651,3.00,,
651.2,3.00,,
651.4,3.00,,
651.6,2.90,,
651.8,2.80,,
652,2.80,,
652.2,2.60,,
652.4,2.60,,
652.6,2.60,,
652.8,2.50,,
653,2.40,,
653.2,2.50,,
653.4,2.30,,
653.6,2.10,,
653.8,2.20,,
654,2.30,,
654.2,2.60,,
654.4,3.20,,
654.6,3.40,,
654.8,2.80,,
655,2.70,,
655.2,2.50,,
655.4,2.30,,
655.6,2.30,,
655.8,2.30,,
656,2.30,,
656.2,2.40,,
656.4,2.70,,
656.6,2.80,,
656.8,2.90,,
657,3.00,,
657.2,3.00,,
657.4,2.70,,
657.6,2.60,,
657.8,2.40,,
658,2.30,,
658.2,2.20,,
658.4,2.20,,
658.6,2.10,,
658.8,2.30,,
659,3.00,,
659.2,3.30,,
659.4,3.40,,
659.6,3.50,,
659.8,3.40,,
660,3.20,,
660.2,3.00,,
660.4,2.90,,
660.6,2.90,,
660.8,2.90,,
661,2.90,,
661.2,2.80,,
661.4,2.80,,
661.6,2.90,,
661.8,3.00,,
662,3.00,,
662.2,2.90,,
662.4,2.70,,
662.6,2.50,,
662.8,2.30,,
663,2.20,,
663.2,2.20,,
663.4,2.40,,
663.6,2.30,,
663.8,2.20,,
664,2.10,,
664.2,2.10,,
664.4,2.20,,
664.6,2.00,,
664.8,1.90,,
665,1.90,,
665.2,1.90,,
665.4,2.10,,
665.6,2.30,,
665.8,2.30,,
666,2.30,,
666.2,2.10,,
666.4,2.00,,
666.6,1.90,,
666.8,1.90,,
667,1.90,,
667.2,2.10,,
667.4,2.20,,
667.6,2.20,,
667.8,2.20,,
668,2.00,,
668.2,1.90,,
668.4,1.60,,
668.6,1.50,,
668.8,1.60,,
669,1.70,,
669.2,2.20,,
669.4,2.40,,
669.6,2.30,,
669.8,2.30,,
670,2.20,,
670.2,2.20,,
670.4,2.20,,
670.6,2.20,,
670.8,2.10,,
671,2.00,,
671.2,1.80,,
671.4,1.70,,
671.6,1.80,,
671.8,1.90,,
672,2.20,,
672.2,2.50,,
672.4,2.50,,
672.6,2.40,,
672.8,2.30,,
673,2.40,,
673.2,2.20,,
673.4,2.00,,
673.6,1.70,,
673.8,1.60,,
674,1.60,,
674.2,1.80,,
674.4,2.00,,
674.6,2.50,,
674.8,2.40,,
675,2.50,,
675.2,2.50,,
675.4,2.40,,
675.6,2.30,,
675.8,2.20,,
676,2.10,,
676.2,2.30,,
676.4,2.30,,
676.6,2.30,,
676.8,2.20,,
677,2.10,,
677.2,2.30,,
677.4,2.40,,
677.6,2.20,,
677.8,2.30,,
678,2.20,,
678.2,2.10,,
678.4,2.10,,
678.6,2.60,,
678.8,2.80,,
679,2.80,,
679.2,3.00,,
679.4,3.00,,
679.6,2.70,,
679.8,2.40,,
680,2.20,,
680.2,2.40,,
680.4,2.10,,
680.6,2.40,,
680.8,2.90,,
681,3.00,,
681.2,2.70,,
681.4,2.60,,
681.6,2.50,,
681.8,2.40,,
682,2.50,,
682.2,2.50,,
682.4,2.50,,
682.6,2.50,,
682.8,2.50,,
683,2.40,,
683.2,2.70,,
683.4,3.00,,
683.6,3.20,,
683.8,2.80,,
684,2.60,,
684.2,2.30,,
684.4,2.10,,
684.6,2.10,,
684.8,2.40,,
685,2.80,,
685.2,3.00,,
685.4,3.20,,
685.6,3.00,,
685.8,3.10,,
686,3.20,,
686.2,3.70,,
686.4,3.50,,
686.6,3.20,,
686.8,2.90,,
687,2.80,,
687.2,2.70,,
687.4,2.70,,
687.6,2.90,,
687.8,3.40,,
688,3.40,,
688.2,3.30,,
688.4,3.50,,
688.6,3.70,,
688.8,3.80,,
689,3.40,,
689.2,3.00,,
689.4,2.50,,
689.6,2.80,,
689.8,3.20,,
690,3.50,,
690.2,3.60,,
690.4,3.40,,
690.6,3.40,,
690.8,3.30,,
691,3.60,,
691.2,3.20,,
691.4,1.10,,
691.6,3.80,,
691.8,3.20,,
692,2.50,,
692.2,2.20,,
692.4,2.00,,
692.6,1.70,,
692.8,1.70,,
693,1.80,,
693.2,2.10,,
693.4,2.30,,
693.6,2.40,,
693.8,1.90,,
694,1.40,,
694.2,1.10,,
694.4,1.10,,
694.6,1.50,,
694.8,2.20,,
695,3.20,,
695.2,3.90,,
695.4,3.90,,
695.6,3.90,,
695.8,3.30,,
696,2.10,,
696.2,1.30,,
696.4,1.00,,
696.6,1.10,,
696.8,1.10,,
697,1.50,,
697.2,2.00,,
697.4,2.50,,
697.6,2.50,,
697.8,1.80,,
698,0.80,,
698.2,0.30,,
698.4,0.20,,
698.6,0.30,,
698.8,0.50,,
699,0.90,,
699.2,0.70,,
699.4,0.50,,
699.6,2.20,,
699.8,2.90,,
700,3.10,,
700.2,3.20,,
700.4,3.40,,
700.6,3.50,,
700.8,3.40,,
701,3.20,,
701.2,3.20,,
701.4,3.70,,
701.6,3.90,,
701.8,3.80,,
702,3.90,,
702.2,3.80,,
702.4,3.60,,
702.6,3.60,,
702.8,3.60,,
703,3.40,,
703.2,3.40,,
703.4,3.50,,
703.6,3.20,,
703.8,3.00,,
704,2.80,,
704.2,2.80,,
704.4,2.80,,
704.6,2.80,,
704.8,2.50,,
705,2.40,,
705.2,2.10,,
705.4,2.30,,
705.6,3.30,,
705.8,3.20,,
706,3.30,,
706.2,3.20,,
706.4,3.40,,
706.6,3.40,,
706.8,3.40,,
707,3.40,,
707.2,3.30,,
707.4,3.10,,
707.6,3.10,,
707.8,3.20,,
708,3.30,,
708.2,3.40,,
708.4,3.60,,
708.6,3.50,,
708.8,3.20,,
709,3.20,,
709.2,3.40,,
709.4,3.50,,
709.6,3.40,,
709.8,3.40,,
710,3.60,,
710.2,3.80,,
710.4,3.60,,
710.6,3.70,,
710.8,3.80,,
711,3.70,,
711.2,3.80,,
711.4,4.00,,
711.6,4.10,,
711.8,3.90,,
712,3.90,,
712.2,3.80,,
712.4,3.80,,
712.6,4.00,,
712.8,4.20,,
713,4.00,,
713.2,3.70,,
713.4,3.50,,
713.6,3.50,,
713.8,3.80,,
714,3.90,,
714.2,3.70,,
714.4,4.00,,
714.6,4.40,,
714.8,4.50,,
715,4.50,,
715.2,4.20,,
715.4,3.80,,
715.6,3.70,,
715.8,3.60,,
716,3.90,,
716.2,4.20,,
716.4,4.20,,
716.6,4.40,,
716.8,4.20,,
717,4.40,,
717.2,4.20,,
717.4,5.00,,
717.6,4.40,,
717.8,4.30,,
718,4.10,,
718.2,4.20,,
718.4,4.40,,
718.6,4.20,,
718.8,4.20,,
719,3.80,,
719.2,3.40,,
719.4,3.10,,
719.6,3.00,,
719.8,3.20,,
720,3.10,,
720.2,3.00,,
720.4,3.20,,
720.6,3.30,,
720.8,3.20,,
721,3.00,,
721.2,2.90,,
721.4,2.80,,
721.6,2.80,,
721.8,3.30,,
722,3.50,,
722.2,3.40,,
722.4,3.40,,
722.6,3.30,,
722.8,2.90,,
723,2.30,,
723.2,2.30,,
723.4,2.80,,
723.6,3.50,,
723.8,3.80,,
724,3.90,,
724.2,4.00,,
724.4,3.60,,
724.6,3.20,,
724.8,3.10,,
725,3.20,,
725.2,3.20,,
725.4,3.30,,
725.6,3.30,,
725.8,3.10,,
726,2.90,,
726.2,2.70,,
726.4,2.50,,
726.6,2.70,,
726.8,3.20,,
727,3.20,,
727.2,3.20,,
727.4,3.60,,
727.6,4.10,,
727.8,4.30,,
728,4.20,,
728.2,3.90,,
728.4,3.80,,
728.6,3.60,,
728.8,3.80,,
729,4.00,,
729.2,4.10,,
729.4,4.00,,
729.6,3.80,,
729.8,3.40,,
730,3.10,,
730.2,3.20,,
730.4,3.50,,
730.6,4.00,,
730.8,4.00,,
731,3.80,,
731.2,3.90,,
731.4,3.90,,
731.6,3.90,,
731.8,3.80,,
732,2.90,,
732.2,2.90,,
732.4,3.80,,
732.6,4.40,,
732.8,4.60,,
733,4.40,,
733.2,4.20,,
733.4,4.00,,
733.6,3.90,,
733.8,3.80,,
734,4.00,,
734.2,4.00,,
734.4,3.70,,
734.6,3.80,,
734.8,3.80,,
735,3.50,,
735.2,3.50,,
735.4,3.60,,
735.6,3.60,,
735.8,3.60,,
736,3.60,,
736.2,3.60,,
736.4,3.70,,
736.6,3.70,,
736.8,3.90,,
737,4.00,,
737.2,4.30,,
737.4,4.40,,
737.6,4.50,,
737.8,4.40,,
738,4.10,,
738.2,4.00,,
738.4,3.80,,
738.6,3.50,,
738.8,3.40,,
739,3.30,,
739.2,3.30,,
739.4,3.40,,
739.6,3.60,,
739.8,3.80,,
740,3.80,,
740.2,4.20,,
740.4,4.40,,
740.6,4.50,,
740.8,4.50,,
741,4.30,,
741.2,3.80,,
741.4,3.00,,
741.6,2.60,,
741.8,4.00,,
742,5.40,,
742.2,5.30,,
742.4,5.10,,
742.6,4.90,,
742.8,4.90,,
743,4.70,,
743.2,4.60,,
743.4,4.50,,
743.6,4.20,,
743.8,4.20,,
744,4.10,,
744.2,4.00,,
744.4,3.80,,
744.6,3.70,,
744.8,4.20,,
745,4.90,,
745.2,5.20,,
745.4,5.30,,
745.6,5.40,,
745.8,5.60,,
746,5.20,,
746.2,4.70,,
746.4,4.50,,
746.6,4.60,,
746.8,4.60,,
747,4.80,,
747.2,4.90,,
747.4,5.00,,
747.6,5.00,,
747.8,5.00,,
748,4.80,,
748.2,4.40,,
748.4,4.00,,
748.6,4.10,,
748.8,4.70,,
749,5.40,,
749.2,5.80,,
749.4,5.90,,
749.6,5.40,,
749.8,4.70,,
750,4.10,,
750.2,4.20,,
750.4,4.10,,
750.6,3.80,,
750.8,3.90,,
751,4.10,,
751.2,4.50,,
751.4,4.50,,
751.6,4.40,,
751.8,4.60,,
752,4.60,,
752.2,4.60,,
752.4,4.60,,
752.6,4.40,,
752.8,4.20,,
753,3.80,,
753.2,3.20,,
753.4,3.00,,
753.6,3.40,,
753.8,4.30,,
754,4.60,,
754.2,4.70,,
754.4,4.70,,
754.6,4.40,,
754.8,4.00,,
755,3.80,,
755.2,3.70,,
755.4,3.70,,
755.6,3.80,,
755.8,4.00,,
756,3.80,,
756.2,3.60,,
756.4,3.60,,
756.6,3.50,,
756.8,3.50,,
757,3.50,,
757.2,3.50,,
757.4,3.30,,
757.6,3.20,,
757.8,3.30,,
758,3.40,,
758.2,3.60,,
758.4,3.90,,
758.6,4.20,,
758.8,4.30,,
759,4.30,,
759.2,4.00,,
759.4,4.00,,
759.6,4.10,,
759.8,4.30,,
760,4.40,,
760.2,4.40,,
760.4,4.40,,
760.6,4.00,,
760.8,3.70,,
761,3.80,,
761.2,4.20,,
761.4,3.90,,
761.6,3.40,,
761.8,3.60,,
762,4.40,,
762.2,4.40,,
762.4,4.30,,
762.6,3.80,,
762.8,3.20,,
763,3.20,,
763.2,3.60,,
763.4,3.80,,
763.6,3.60,,
763.8,3.80,,
764,4.40,,
764.2,4.40,,
764.4,4.00,,
764.6,3.80,,
764.8,3.80,,
765,3.80,,
765.2,3.80,,
765.4,4.00,,
765.6,4.10,,
765.8,4.20,,
766,4.10,,
766.2,4.20,,
766.4,4.20,,
766.6,4.60,,
766.8,4.70,,
767,4.60,,
767.2,4.40,,
767.4,4.40,,
767.6,4.20,,
767.8,4.10,,
768,4.00,,
768.2,3.70,,
768.4,3.80,,
768.6,4.20,,
768.8,4.60,,
769,4.80,,
769.2,4.70,,
769.4,4.60,,
769.6,4.60,,
769.8,4.60,,
770,4.70,,
770.2,4.70,,
770.4,4.60,,
770.6,4.40,,
770.8,4.30,,
771,4.60,,
771.2,5.00,,
771.4,5.40,,
771.6,5.30,,
771.8,4.70,,
772,4.10,,
772.2,4.10,,
772.4,4.40,,
772.6,4.60,,
772.8,4.80,,
773,4.80,,
773.2,4.70,,
773.4,4.70,,
773.6,4.40,,
773.8,4.30,,
774,4.40,,
774.2,4.40,,
774.4,4.10,,
774.6,3.80,,
774.8,3.80,,
775,3.80,,
775.2,3.80,,
775.4,4.00,,
775.6,4.00,,
775.8,4.00,,
776,3.90,,
776.2,3.80,,
776.4,3.60,,
776.6,3.80,,
776.8,4.00,,
777,4.20,,
777.2,4.20,,
777.4,4.20,,
777.6,4.20,,
777.8,4.40,,
778,4.50,,
778.2,4.30,,
778.4,4.20,,
778.6,4.00,,
778.8,3.80,,
779,3.70,,
779.2,3.70,,
779.4,3.70,,
779.6,4.00,,
779.8,4.10,,
780,4.20,,
780.2,4.20,,
780.4,4.20,,
780.6,3.90,,
780.8,3.30,,
781,2.90,,
781.2,2.90,,
781.4,3.20,,
781.6,3.70,,
781.8,3.80,,
782,3.70,,
782.2,3.60,,
782.4,3.50,,
782.6,3.20,,
782.8,2.70,,
783,2.30,,
783.2,2.10,,
783.4,1.70,,
783.6,1.30,,
783.8,1.30,,
784,1.20,,
784.2,1.30,,
784.4,1.30,,
784.6,1.20,,
784.8,1.10,,
785,1.10,,
785.2,1.20,,
785.4,1.30,,
785.6,1.20,,
785.8,1.40,,
786,1.70,,
786.2,2.10,,
786.4,2.40,,
786.6,3.20,,
786.8,4.00,,
787,3.80,,
787.2,3.80,,
787.4,3.80,,
787.6,3.70,,
787.8,4.40,,
788,3.60,,
788.2,3.30,,
788.4,3.30,,
788.6,3.20,,
788.8,2.70,,
789,2.30,,
789.2,2.50,,
789.4,2.70,,
789.6,2.90,,
789.8,3.20,,
790,3.50,,
790.2,3.60,,
790.4,3.60,,
790.6,3.80,,
790.8,4.00,,
791,3.90,,
791.2,3.80,,
791.4,3.90,,
791.6,4.10,,
791.8,4.20,,
792,4.20,,
792.2,4.30,,
792.4,4.60,,
792.6,4.60,,
792.8,4.50,,
793,4.60,,
793.2,5.00,,
793.4,5.20,,
793.6,5.10,,
793.8,4.90,,
794,5.00,,
794.2,5.40,,
794.4,5.60,,
794.6,5.30,,
794.8,5.00,,
795,4.60,,
795.2,4.50,,
795.4,4.60,,
795.6,4.60,,
795.8,4.80,,
796,4.70,,
796.2,4.50,,
796.4,4.50,,
796.6,4.60,,
796.8,5.00,,
797,5.00,,
797.2,4.80,,
797.4,4.50,,
797.6,4.20,,
797.8,4.00,,
798,4.00,,
798.2,3.90,,
798.4,3.80,,
798.6,3.80,,
798.8,3.80,,
799,3.90,,
799.2,4.30,,
799.4,4.60,,
799.6,4.30,,
799.8,4.20,,
800,4.00,,
800.2,3.80,,
800.4,3.40,,
800.6,3.20,,
800.8,3.20,,
801,3.60,,
801.2,4.00,,
801.4,4.20,,
801.6,4.00,,
801.8,3.50,,
802,2.90,,
802.2,2.50,,
802.4,2.10,,
802.6,2.20,,
802.8,2.50,,
803,3.00,,
803.2,3.20,,
803.4,3.60,,
803.6,3.60,,
803.8,3.60,,
804,3.40,,
804.2,3.40,,
804.4,3.50,,
804.6,3.60,,
804.8,3.70,,
805,3.80,,
805.2,3.90,,
805.4,4.20,,
805.6,4.30,,
805.8,4.50,,
806,4.60,,
806.2,4.90,,
806.4,4.70,,
806.6,4.30,,
806.8,4.40,,
807,4.70,,
807.2,4.70,,
807.4,5.00,,
807.6,5.20,,
807.8,4.60,,
808,3.90,,
808.2,3.50,,
808.4,3.60,,
808.6,4.10,,
808.8,4.40,,
809,4.60,,
809.2,4.90,,
809.4,5.30,,
809.6,5.60,,
809.8,5.70,,
810,5.50,,
810.2,5.20,,
810.4,5.20,,
810.6,5.40,,
810.8,6.00,,
811,6.00,,
811.2,5.40,,
811.4,5.40,,
811.6,5.60,,
811.8,5.60,,
