Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
116.4,4.50,291,1.1402
116.6,4.40,291.5,1.2078
116.8,4.50,292,1.2543
117,4.70,292.5,1.2637
117.2,4.80,293,1.2698
117.4,4.80,293.5,1.2371
117.6,4.90,294,1.2397
117.8,4.90,294.5,1.2082
118,5.00,295,1.1592
118.2,5.10,295.5,1.2571
118.4,5.00,296,1.2627
118.6,5.20,296.5,1.1894
118.8,5.00,297,1.1833
119,4.90,297.5,1.2772
119.2,4.80,298,1.2609
119.4,4.90,298.5,1.1709
119.6,4.90,299,1.1981
119.8,5.00,299.5,1.321
120,5.20,300,1.3747
120.2,5.20,300.5,1.3341
120.4,5.10,301,1.2817
120.6,5.20,301.5,1.199
120.8,4.90,302,1.1474
121,5.00,302.5,1.2208
121.2,5.00,303,1.3173
121.4,5.00,303.5,1.2721
121.6,5.00,304,1.2513
121.8,5.00,304.5,1.2185
122,5.00,305,1.1394
122.2,5.00,305.5,1.1398
122.4,4.80,306,1.1566
122.6,4.70,306.5,1.1355
122.8,4.80,307,1.1729
123,4.80,307.5,1.1532
123.2,4.70,308,1.1379
123.4,4.60,308.5,1.0794
123.6,4.70,309,1.0158
123.8,4.80,309.5,1.1989
124,4.80,310,1.2161
124.2,5.00,310.5,1.1257
124.4,4.70,311,1.1416
124.6,4.80,311.5,1.2323
124.8,4.70,312,1.1202
125,4.70,312.5,1.1221
125.2,4.70,313,1.2272
125.4,4.80,313.5,1.1951
125.6,4.80,314,1.1577
125.8,4.90,314.5,1.2123
126,5.00,315,1.2385
126.2,5.00,315.5,1.2453
126.4,5.00,316,1.2288
126.6,5.00,316.5,1.2195
126.8,5.00,317,1.1543
127,4.90,317.5,1.0987
127.2,4.80,318,1.251
127.4,4.80,318.5,1.2526
127.6,4.70,319,1.2351
127.8,4.60,319.5,1.1978
128,4.60,320,1.1566
128.2,4.80,320.5,1.1262
128.4,4.90,321,1.222
128.6,5.00,321.5,1.2101
128.8,5.00,322,1.0932
129,4.90,322.5,1.0103
129.2,4.80,323,1.1798
129.4,5.00,323.5,1.168
129.6,5.00,324,1.1366
129.8,5.00,324.5,1.1866
130,5.10,325,1.2272
130.2,5.00,325.5,1.2216
130.4,5.00,326,1.2591
130.6,5.00,326.5,1.2261
