# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
486635	5458615	-19450.69825	6792.439453	2920
486635	5478615	-17953.61519	8002.880859	2920
486635	5498615	-16027.68435	9649.788086	2920
506635	4898615	-13229.95063	9407.00293	2750
506635	4918615	-16956.2562	10116.82031	2950
506635	4938615	-19382.91047	12440.2207	2950
506635	4958615	-20368.2937	17348.05273	2950
506635	4978615	-21828.1214	20635.5332	2950
506635	4998615	-22705.79342	20537.93555	2950
506635	5018615	-21971.98903	18477.13477	2950
506635	5038615	-20081.8458	18258.48047	2950
506635	5058615	-18312.72467	17772.82813	2950
506635	5078615	-16621.24097	12591.51367	2950
506635	5098615	-15974.98218	10315.07422	2950
506635	5118615	-16354.89539	16856.04688	2950
506635	5138615	-18895.53754	23903.86523	2950
506635	5158615	-21026.5968	26254.22852	2950
506635	5178615	-24732.82263	21106.74609	2950
506635	5198615	-27247.30091	14024.21289	2950
506635	5218615	-24041.45514	12872.72266	2950
506635	5238615	-23311.7345	10288.23633	2950
506635	5258615	-23189.02094	7778.621094	2950
506635	5278615	-22397.61121	6307.753906	2800
506635	5298615	-21244.51459	5806.085938	2800
506635	5318615	-20427.2948	5637.660156	2800
506635	5338615	-19612.13031	6070.6875	2800
506635	5358615	-19148.9563	6636.167969	2800
506635	5378615	-20224.46388	5758.632813	2800
506635	5398615	-21879.08381	4305.185547	2800
506635	5418615	-22871.06059	3499.605469	2800
506635	5438615	-22400.76777	4086.298828	2920
506635	5458615	-21910.91236	4547.625	2920
506635	5478615	-19791.7847	6493.169922	2920
506635	5498615	-16673.99957	9467.984375	2920
526635	4898615	-14147.96997	7522.991211	2750
526635	4918615	-18504.01721	7199.195313	2950
526635	4938615	-22175.32281	10254.31445	2950
526635	4958615	-24510.0708	13834.54883	2950
526635	4978615	-23849.02557	17369.03516	2950
526635	4998615	-23759.07813	16212.91211	2950
526635	5018615	-23536.75264	12481.85156	2950
526635	5038615	-21543.81469	13509.88281	2950
526635	5058615	-16595.00974	19622.39844	2950
526635	5078615	-15690.89215	17867.56641	2950
526635	5098615	-19052.07215	14097.98438	2950
526635	5118615	-18825.42364	21731.72266	2950
526635	5138615	-20283.17591	28520.62695	2950
526635	5158615	-21884.64783	29122.49414	2950
526635	5178615	-25243.54883	22289.91016	2950
526635	5198615	-27043.95947	15330.84961	2950
526635	5218615	-24436.93494	13991.75391	2950
526635	5238615	-23426.02503	11530.34375	2950
526635	5258615	-23423.68519	8591.527344	2950
526635	5278615	-23318.25232	6093.429688	2800
526635	5298615	-22468.80163	5067.947266	2800
526635	5318615	-21901.41803	4533.439453	2800
526635	5338615	-20924.97986	5054.839844	2800
526635	5358615	-21152.38702	4845.806641	2800
526635	5378615	-21819.47729	4328.728516	2800
526635	5398615	-22503.05037	3864.960938	2800
526635	5418615	-22727.1586	3840.255859	2800
526635	5438615	-22320.94208	4399.767578	2920
526635	5458615	-22574.06146	4245.042969	2920
526635	5478615	-22738.12215	4130.523438	2920
526635	5498615	-20106.20725	6843.859375	2920
546635	4898615	-14753.78668	7772.280273	2750
546635	4918615	-18653.17597	7753.753906	2950
546635	4938615	-23429.61884	10553.21875	2950
546635	4958615	-26320.69367	12692.53516	2950
546635	4978615	-23936.3028	15727.91406	2950
546635	4998615	-23144.207	13623.83789	2950
546635	5018615	-22246.49023	9737.791016	2950
546635	5038615	-22007.59011	9108.916016	2950
546635	5058615	-17901.80509	15913.05273	2950
546635	5078615	-17512.33088	19245.89063	2950
546635	5098615	-20727.67175	20106.29883	2950
546635	5118615	-20332.59058	25286.00391	2950
546635	5138615	-21303.90625	29266.56836	2950
546635	5158615	-22283.1106	29387.53906	2950
546635	5178615	-26497.92956	22715.29102	2950
546635	5198615	-29351.49451	15022.84961	2950
546635	5218615	-26665.22497	13245.63086	2950
546635	5238615	-24070.22852	12072.56641	2950
546635	5258615	-23238.76038	9709.501953	2950
546635	5278615	-23107.27909	7088.130859	2950
546635	5298615	-22426.65565	5777.240234	2800
546635	5318615	-23032.49653	4006.191406	2800
546635	5338615	-23537.56528	2932.71875	2800
546635	5358615	-23514.73761	2712.115234	2800
546635	5378615	-23180.1712	2989.289063	2800
546635	5398615	-22637.58728	3681.013672	2800
546635	5418615	-22131.74701	4486.300781	2800
546635	5438615	-22008.1499	4884.195313	2920
546635	5458615	-21795.24489	5306.310547	2920
546635	5478615	-21519.43017	5742.242188	2920
546635	5498615	-21147.49435	6294.898438	2920
566635	4898615	-16139.53366	7853.923828	2750
566635	4918615	-17367.98645	11505.73633	2750
566635	4938615	-22503.46674	14599.36523	2750
566635	4958615	-24908.41388	15014.62109	2750
566635	4978615	-25802.36366	11545.55469	2750
566635	4998615	-25694.15948	7990.003906	2950
566635	5018615	-21152.43168	8663.556641	2950
566635	5038615	-21857.22074	6832.056641	2950
566635	5058615	-17958.1777	14439.75391	2950
566635	5078615	-17819.73773	20779.57422	2950
566635	5098615	-21195.34118	23958.64063	2950
566635	5118615	-21223.96033	27456.41992	2950
566635	5138615	-21794.04419	29345.32031	2950
566635	5158615	-22173.98731	29632.10352	2950
566635	5178615	-26383.98193	23658.10156	2950
566635	5198615	-29035.88794	16909.90234	2950
566635	5218615	-26609.10082	14681.07617	2950
566635	5238615	-23656.09107	13654.14453	2950
566635	5258615	-22890.27902	11091.30078	2950
566635	5278615	-22805.17243	8373.419922	2950
566635	5298615	-21812.22089	7341.853516	2800
566635	5318615	-21629.85614	6316.150391	2800
566635	5338615	-21595.68036	5596.75	2800
566635	5358615	-21469.38354	5252.621094	2800
566635	5378615	-21396.59375	5060.072266	2800
566635	5398615	-20762.11368	5731.367188	2800
566635	5418615	-19136.58219	7652.162109	2800
566635	5438615	-17677.98159	9442.496094	2800
566635	5458615	-16066.10364	11325.62207	2920
566635	5478615	-13786.49869	13840.81934	2920
566635	5498615	-16578.24912	11310.32227	2920
586635	4898615	-18979.38938	7071.753906	3040
586635	4918615	-17992.72913	13822.13477	2750
586635	4938615	-22018.37158	18594.63281	2750
586635	4958615	-23431.04532	17702.74414	2750
586635	4978615	-24168.88317	11640.83594	2750
586635	4998615	-21726.31	10078.29102	2750
586635	5018615	-21569.82248	7767.796875	2750
586635	5038615	-21841.65648	6068.146484	2950
586635	5058615	-21523.81763	9846.001953	2950
586635	5078615	-21091.92151	16868.16016	2950
586635	5098615	-21283.88538	23847.96289	2950
586635	5118615	-21320.2074	28070.99219	2950
586635	5138615	-22156.07544	29566.64063	2950
586635	5158615	-22316.12745	30099.24609	2950
586635	5178615	-24337.70435	26321.91406	2950
586635	5198615	-26463.17188	20286.7793	2950
586635	5218615	-27067.77613	15449.30664	2950
586635	5238615	-23900.03577	14838.73828	2950
586635	5258615	-22715.60718	12704.97656	2950
586635	5278615	-22205.62281	10363.64844	2950
586635	5298615	-20992.86029	9441.972656	2800
586635	5318615	-19895.02216	9132.511719	2800
586635	5338615	-18991.06464	9086.636719	2800
586635	5358615	-18186.15387	9310.617188	2800
586635	5378615	-17870.56403	9279.494141	2800
586635	5398615	-17705.16205	9353.720703	2800
586635	5418615	-15712.43112	11479.35742	2800
586635	5438615	-12762.21896	14681.6377	2800
586635	5458615	-13833.92099	13923.00293	2800
586635	5478615	-12970.00293	15147.60059	2920
586635	5498615	-13940.07117	14553.29395	2920
606635	4898615	-18509.74268	10168.5918	3040
606635	4918615	-22506.46265	12214.97656	2750
606635	4938615	-23387.06869	19113.0332	2750
606635	4958615	-24047.55317	18178.74805	2750
606635	4978615	-23669.56302	13234.71484	2750
606635	4998615	-21589.59388	10634.80469	2750
606635	5018615	-21792.26979	7869.363281	2750
606635	5038615	-21872.56178	6779.048828	2950
606635	5058615	-21352.08582	9420.908203	2950
606635	5078615	-21183.90113	14202.33008	2950
606635	5098615	-23827.38135	18254.56055	2950
606635	5118615	-24718.87915	23379.73438	2950
606635	5138615	-23318.0531	28456.79492	2950
606635	5158615	-22791.47022	29788.09766	2950
606635	5178615	-23638.65601	27391.25586	2950
606635	5198615	-27179.77259	20260.69727	2950
606635	5218615	-28298.69288	15204.39063	2950
606635	5238615	-25681.44982	14590.53125	2950
606635	5258615	-24013.10571	13141.57617	2950
606635	5278615	-22197.67999	12035.19336	2950
606635	5298615	-20760.07752	10942.87109	2950
606635	5318615	-19479.73614	10462.01563	2800
606635	5338615	-18843.98371	10112.01563	2800
606635	5358615	-17679.2222	10617.98242	2800
606635	5378615	-17060.10499	10842.48438	2800
606635	5398615	-17307.08197	10440.20703	2800
606635	5418615	-15853.04262	11849.11133	2800
606635	5438615	-12047.11582	15774.14356	2800
606635	5458615	-13625.17133	14559.96484	2800
606635	5478615	-15482.98266	13198.11035	2800
606635	5498615	-14211.87815	14926.86133	2920
626635	4898615	-20457.35315	9084.994141	3040
626635	4918615	-25522.50785	10887.19531	2750
626635	4938615	-25806.31681	16446.68359	2750
626635	4958615	-25488.86329	15760.51172	2750
626635	4978615	-25242.26993	11078.93359	2750
626635	4998615	-22019.54497	10609.83008	2750
626635	5018615	-21768.79401	9461.466797	2750
626635	5038615	-21366.54383	9545.880859	2750
626635	5058615	-21127.99063	10739.48242	2950
626635	5078615	-20808.65052	14484.20703	2950
626635	5098615	-21973.18433	19623.75977	2950
626635	5118615	-21973.58411	26008.64453	2950
626635	5138615	-21249.01709	30686.02344	2950
626635	5158615	-21658.88355	30848.94922	2950
626635	5178615	-23294.50879	27811.42969	2950
626635	5198615	-27741.89136	20354.92969	2950
626635	5218615	-28485.19275	16110.74219	2950
626635	5238615	-27742.35901	13418.16602	2950
626635	5258615	-25656.9723	12195.9375	2950
626635	5278615	-22938.69696	11913.50781	2950
626635	5298615	-20218.84918	12257.52148	2950
626635	5318615	-19979.86365	10951.2168	2800
626635	5338615	-20637.44397	9231.898438	2800
626635	5358615	-20598.9509	8271.552734	2800
626635	5378615	-20517.65079	7762.027344	2800
626635	5398615	-20016.68213	8102.089844	2800
626635	5418615	-17057.78232	11033.20117	2800
626635	5438615	-14417.13559	13746.91895	2800
626635	5458615	-14479.54199	13939.1416	2800
626635	5478615	-14815.99154	14105.50586	2800
626635	5498615	-13835.97412	15575.36328	2800
646635	4898615	-23933.1015	6650.158203	3040
646635	4918615	-26761.48163	11530.89063	2750
646635	4938615	-26628.64491	15585.1875	2750
646635	4958615	-27354.72987	12687.71484	2750
646635	4978615	-26479.38298	8860.019531	2750
646635	4998615	-23090.13498	9000.064453	2750
