# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
406635	4918615	-31074.34896	65517.28906	3305
406635	4938615	-23363.69342	73923.70313	3305
406635	4958615	-20873.40085	77053.82813	3305
406635	4978615	-20998.3049	77464.67969	3305
406635	4998615	-21290.25534	77547.09375	3305
406635	5018615	-23197.12592	75788.1875	3335
406635	5038615	-26840.19214	72003.01563	3335
406635	5058615	-31237.11255	67151.94531	3305
406635	5078615	-37411.46643	60219.45313	3305
406635	5098615	-42014.7058	54598.91797	3305
406635	5118615	-42050.73974	53338.03516	3305
406635	5138615	-40067.18006	53909.28125	3305
406635	5158615	-37902.87427	54465.21875	3305
406635	5178615	-35487.45948	55050.28906	3305
406635	5198615	-32448.16443	56057.25781	3305
406635	5218615	-29362.50062	56984.75781	3305
406635	5238615	-26976.13315	57169.28906	3305
406635	5258615	-25779.20355	56293.86719	3305
406635	5278615	-25143.55508	55117.71094	3305
406635	5298615	-24765.80152	54071.26563	3305
406635	5318615	-24542.99468	53471.61719	3305
406635	5338615	-24498.14273	53617.75781	3305
406635	5358615	-24620.1861	54639.73047	3305
406635	5378615	-25126.192	55884.89063	3305
406635	5398615	-25839.72906	57293.75781	3305
406635	5418615	-26515.33307	58905.28125	3305
406635	5438615	-27261.21793	60534.06641	3305
406635	5458615	-28068.48763	62043.21875	3305
406635	5478615	-28724.20914	63413.05078	3305
406635	5498615	-28947.01757	64810.52344	3305
426635	4898615	-33723.81278	62183.01563	3305
426635	4918615	-34342.87144	62495.31641	3305
426635	4938615	-29598.73144	68144.8125	3305
426635	4958615	-27462.08645	71123.33594	3305
426635	4978615	-27045.95073	72274.26563	3305
426635	4998615	-24879.77573	75010.73438	3305
426635	5018615	-21665.90983	78563.09375	3335
426635	5038615	-20988.45844	79276.1875	3335
426635	5058615	-23630.07544	76340.28906	3335
426635	5078615	-29601.63086	69759.375	3305
426635	5098615	-36225.60749	62280.86719	3305
426635	5118615	-39664.0968	57830.27734	3305
426635	5138615	-41593.88184	54773.67188	3305
426635	5158615	-41750.73048	53354.37109	3305
426635	5178615	-38235.56775	55371.51953	3305
426635	5198615	-34296.20141	57526.44922	3305
426635	5218615	-31355.41974	58394.34375	3305
426635	5238615	-28685.7958	58764.76563	3305
426635	5258615	-26974.32733	58124.29297	3305
426635	5278615	-25927.60999	56937.46094	3305
426635	5298615	-25411.19757	55507.78906	3305
426635	5318615	-25200.71561	54385.92969	3305
426635	5338615	-25032.0549	54419.94531	3305
426635	5358615	-24981.03735	55816.56641	3305
426635	5378615	-25354.61184	57214.89063	3305
426635	5398615	-26038.80503	58199.83594	3305
426635	5418615	-26678.85066	59078.19922	3305
426635	5438615	-27297.7964	59970.28516	3305
426635	5458615	-27877.4191	60911.33594	3305
426635	5478615	-28290.92922	61790.51563	3305
426635	5498615	-28455.95295	62445.55469	3305
446635	4898615	-30724.43233	65224.08594	3305
446635	4918615	-35058.19092	62025.74609	3305
446635	4938615	-34454.10607	63728.16797	3305
446635	4958615	-34644.08076	64564.37891	3305
446635	4978615	-34971.01901	65154.37109	3305
446635	4998615	-32854.38626	68023.98438	3305
446635	5018615	-27501.36794	73900.36719	3305
446635	5038615	-23005.01389	78613.28125	3335
446635	5058615	-20941.9859	80553.23438	3335
446635	5078615	-22187.70093	78867.32031	3305
446635	5098615	-27501.03888	72821.875	3305
446635	5118615	-35164.40497	64316.20313	3305
446635	5138615	-43265.0149	55371.52344	3305
446635	5158615	-46462.00977	51351.53125	3305
446635	5178615	-40865.91968	55962.26172	3305
446635	5198615	-35564.45794	59943.83984	3305
446635	5218615	-32874.76791	60798.44531	3305
446635	5238615	-30062.21161	61342.10156	3305
446635	5258615	-27999.2168	60824.78516	3305
446635	5278615	-26518.909	59685.46875	3305
446635	5298615	-25663.34369	58112.48438	3305
446635	5318615	-25311.17834	56701.01172	3305
446635	5338615	-25107.71949	56498.03906	3305
446635	5358615	-25050.37703	57934.125	3305
446635	5378615	-25337.41007	59318.09375	3305
446635	5398615	-25955.35213	59854.4375	3305
446635	5418615	-26546.0039	59956.96875	3305
446635	5438615	-27008.9421	60117.73438	3305
446635	5458615	-27333.03754	60523.88672	3305
446635	5478615	-27517.12805	60960.95313	3305
446635	5498615	-27555.54562	61054.80078	3305
466635	4898615	-26679.36938	69355.79688	3305
466635	4918615	-31769.20275	65582.35938	3305
466635	4938615	-34101.62866	64538.58984	3305
466635	4958615	-37469.93749	62358.9375	3305
466635	4978615	-40512.22131	60375.86328	3305
466635	4998615	-40888.56874	60920.25391	3305
466635	5018615	-37146.50246	65364.10156	3305
466635	5038615	-31804.58766	71109.70313	3335
466635	5058615	-26272.57209	76708.0625	3335
466635	5078615	-21467.34061	81221.85938	3305
466635	5098615	-21843.36267	80268.84375	3305
466635	5118615	-29253.18707	72121.64063	3305
466635	5138615	-40307.60608	60422.13672	3305
466635	5158615	-46691.27832	53632.16016	3305
466635	5178615	-43085.47779	56915.25	3305
466635	5198615	-37501.44343	61909.91016	3305
466635	5218615	-34097.95514	64009.61719	3305
466635	5238615	-31128.13037	64935.64844	3305
466635	5258615	-28896.98312	64450.36719	3305
466635	5278615	-27192.7569	63232.93359	3305
466635	5298615	-25997.90091	61594.83594	3305
466635	5318615	-25383.08899	60071.875	3305
466635	5338615	-25126.06415	59536.61719	3305
466635	5358615	-25153.34765	60531.20313	3305
466635	5378615	-25380.3523	61632.64063	3305
466635	5398615	-25786.76627	61869.89844	3305
466635	5418615	-26220.26888	61375.82031	3305
466635	5438615	-26512.44388	60877.76953	3305
466635	5458615	-26556.54638	60835.76953	3305
466635	5478615	-26457.77425	60978.39063	3305
466635	5498615	-26334.11759	60721.39063	3305
486635	4898615	-24773.4109	71416.60156	3305
486635	4918615	-29542.1339	68117.48438	3305
486635	4938615	-32189.96143	66883.17188	3305
486635	4958615	-37311.52848	63089.22266	3305
486635	4978615	-42795.70894	58825.96484	3305
486635	4998615	-44467.59988	58227.74609	3335
486635	5018615	-42100.0458	61470.30078	3335
486635	5038615	-38086.36948	66084.5	3335
486635	5058615	-33707.04468	70745.76563	3335
486635	5078615	-25816.88397	78547.875	3335
486635	5098615	-22186.79822	81766.42969	3305
486635	5118615	-27962.06757	75334.96875	3305
486635	5138615	-37953.37208	64786.95703	3305
486635	5158615	-44810.6958	57816.11719	3305
486635	5178615	-44561.29528	58460.42578	3305
486635	5198615	-40035.0332	63358.45313	3305
486635	5218615	-35418.18578	67497.65625	3305
486635	5238615	-32282.64661	69039.53906	3305
486635	5258615	-29928.47674	68708.55469	3305
486635	5278615	-27988.30765	67513.21094	3305
486635	5298615	-26576.77195	65750.28125	3305
486635	5318615	-25766.77851	64007.85938	3305
486635	5338615	-25434.98932	62952.16406	3305
486635	5358615	-25507.98529	63125.875	3305
486635	5378615	-25685.25931	63682.05469	3305
486635	5398615	-25917.63799	63589.375	3305
486635	5418615	-26172.57551	62620.82422	3305
486635	5438615	-26328.41084	61595.79297	3305
486635	5458615	-26243.1377	61123.73047	3305
486635	5478615	-25956.49605	61014.35938	3305
486635	5498615	-25677.47244	60545.98438	3305
506635	4898615	-22636.95356	73805.75	3305
506635	4918615	-27073.07651	70963.11719	3305
506635	4938615	-31823.13117	67745.64063	3305
506635	4958615	-37716.34643	63295.27344	3305
506635	4978615	-42463.6546	59892.07422	3335
506635	4998615	-43243.72897	60329.28906	3335
506635	5018615	-40449.1238	64174.73828	3335
506635	5038615	-38340.32627	67104.71875	3335
506635	5058615	-36085.5528	69907.125	3335
506635	5078615	-29212.75464	76991.65625	3335
506635	5098615	-26290.0564	79815.64844	3305
506635	5118615	-33210.94227	72542.20313	3305
506635	5138615	-42799.40277	62541.05078	3305
506635	5158615	-47280.82532	58061.19141	3305
506635	5178615	-45839.56872	60481.17578	3305
506635	5198615	-41271.5138	66354.54688	3305
506635	5218615	-36914.1778	71103.79688	3305
506635	5238615	-33599.97083	73352.42969	3305
506635	5258615	-30967.64203	73477.36719	3305
506635	5278615	-28705.36511	72470.07813	3305
506635	5298615	-27050.60053	70616.96875	3305
506635	5318615	-26064.95496	68545.17969	3305
506635	5338615	-25682.81781	66770.07813	3305
506635	5358615	-25785.12427	65829.39063	3305
506635	5378615	-25983.09669	65413.24219	3305
506635	5398615	-26184.26935	64660.88281	3305
506635	5418615	-26370.66606	63277.75	3305
506635	5438615	-26487.0666	61988.1875	3305
506635	5458615	-26458.53736	61195.13672	3305
506635	5478615	-26284.95462	60748.71875	3305
506635	5498615	-26141.98395	60013.61328	3305
526635	4898615	-21670.96118	75118.21094	3305
526635	4918615	-25703.21253	72783.35156	3305
526635	4938615	-32429.63726	67689.46875	3305
526635	4958615	-38344.61963	63312.99219	3305
526635	4978615	-41218.06073	61891.14453	3335
526635	4998615	-39971.99024	64491.45703	3335
526635	5018615	-36018.6042	69676.55469	3335
526635	5038615	-35053.6975	71706.07813	3335
526635	5058615	-36217.40818	71407.29688	3335
526635	5078615	-33558.45856	74682.4375	3335
526635	5098615	-33150.05653	75478.46094	3335
526635	5118615	-40557.1463	68299.90625	3335
526635	5138615	-48803.80286	60096.55859	3305
526635	5158615	-51007.14197	58135.03125	3305
526635	5178615	-47533.45899	63022.37109	3305
