Distance (m),26-Aug-00,05-Aug-02,08-Sep-12,01-Mar-14,01-May-16
1040.36,262.77,268.42,273.72,228.42,177.89
1042.55,261.35,266.74,272.4,227.39,177.98
1044.74,260.28,265.1,271.01,226.41,178.22
1046.93,259.26,263.48,269.65,225.47,178.35
1049.12,258.1,261.89,268.47,224.56,178.24
1051.31,256.7,260.33,267.84,223.68,177.54
1053.5,255.17,258.81,266.88,223,177.12
1055.69,253.83,257.33,265.92,222.09,176.03
1057.88,252.85,255.9,264.91,221.13,175.77
1060.07,252.12,254.52,263.91,220.11,175.82
1062.26,251.37,253.19,263,219.07,175.49
1064.45,250.35,251.91,262.19,218.04,175.48
1066.64,248.99,250.67,261.42,217.05,175.24
1068.83,247.45,249.87,260.55,216.12,174.52
1071.02,246.01,248.69,259.49,215.22,174.12
1073.21,244.68,247.5,258.31,214.32,173.95
1075.4,243.84,246.68,257.18,213.4,173.43
1077.59,242.45,245.46,256.24,212.48,172.99
1079.78,241.24,244.22,255.47,211.58,172.76
1081.97,240.23,242.97,255.06,210.69,172.68
1084.16,239.32,241.72,254.39,209.8,172.09
1086.35,238.4,240.46,253.64,208.9,171.47
1088.54,237.37,239.2,252.99,207.99,171.09
1090.73,236.25,237.93,252.06,207.27,170.69
1092.92,234.95,236.64,250.98,206.33,170.28
1095.11,234.15,235.33,249.77,205.39,170.09
1097.3,232.8,234.02,248.52,204.48,169.85
1099.49,231.71,232.73,247.37,203.62,169.6
1101.68,230.69,231.46,246.39,202.8,169.45
1103.87,229.49,230.24,245.54,201.98,169.31
1106.06,227.99,229.41,244.73,201.18,169.49
1108.25,226.22,228.3,243.92,200.4,169.49
1110.44,224.72,227.26,243.12,199.66,169.45
1112.63,223.16,226.25,242.35,198.98,169.2
1114.82,222.12,225.26,241.57,198.36,169.13
1117.01,221.44,224.26,240.69,197.76,168.99
1119.2,220.83,223.25,239.6,197.17,168.78
1121.39,220.08,222.21,238.25,196.59,168.47
1123.58,219.14,221.14,236.77,196.06,168.36
1125.77,218.04,220.06,235.72,195.66,168.14
1127.97,216.86,218.99,234.33,195.25,167.8
1130.16,215.69,217.93,233.13,194.88,167.54
1132.35,214.61,216.89,232.07,194.68,167.35
