Time,FSE  P2,FSE  P4,FSE  P5,FSE  P6,FSE  P7,FSE  P8,FSE  P9,FSE  P10,FSE  P11
462.00,-7.50,-3.00,-3.90,-0.20,-0.10,-0.80,0.90,6.80,0.80
464.00,-7.50,-3.00,-3.20,-0.40,-0.30,-0.30,0.70,6.20,1.00
466.00,-7.50,-2.80,-2.50,-0.40,-0.60,0.30,0.30,5.60,1.20
468.00,-7.50,-2.70,-2.40,-0.10,-0.90,0.70,-0.20,5.10,1.50
470.00,-7.40,-2.60,-2.70,0.30,-1.20,1.00,-0.60,4.70,1.90
472.00,-7.10,-2.70,-3.00,0.50,-1.50,1.40,-0.50,4.50,2.30
474.00,-6.90,-2.90,-3.00,0.50,-1.70,1.40,-0.50,4.50,2.60
476.00,-6.60,-3.20,-2.70,0.50,-2.10,1.20,-0.80,4.60,3.10
478.00,-6.40,-3.50,-2.60,0.60,-2.50,1.10,-1.30,4.70,3.50
480.00,-6.50,-3.80,-2.80,0.90,-3.20,1.20,-1.60,4.50,3.90
482.00,-6.80,-4.00,-3.10,1.00,-3.90,1.60,-1.60,4.00,4.20
484.00,-7.20,-4.20,-3.20,1.00,-4.60,2.00,-1.60,3.30,4.50
486.00,-7.60,-4.50,-3.10,1.20,-5.10,2.20,-1.50,2.70,4.70
488.00,-7.90,-4.70,-3.20,1.60,-5.40,2.40,-1.50,2.40,4.90
490.00,-8.20,-4.90,-3.50,1.80,-5.60,2.60,-1.20,2.40,5.10
492.00,-8.50,-5.10,-3.90,1.60,-5.70,2.90,-1.00,2.80,5.20
494.00,-8.80,-5.30,-3.70,1.50,-5.90,3.10,-1.00,3.30,5.40
496.00,-9.10,-5.40,-3.20,1.60,-6.10,3.20,-1.10,3.60,5.60
498.00,-9.30,-5.40,-2.80,2.00,-6.30,3.20,-1.20,3.60,5.80
500.00,-9.30,-5.40,-2.90,2.60,-6.40,3.40,-1.00,3.20,6.00
502.00,-9.30,-5.30,-3.10,3.20,-6.30,3.60,-0.90,2.70,6.10
504.00,-9.50,-5.30,-3.10,3.40,-6.20,3.80,-0.60,2.40,6.10
506.00,-9.80,-5.30,-3.10,3.50,-6.10,3.80,-0.60,2.30,6.10
508.00,-10.40,-5.50,-3.20,3.50,-6.20,3.40,-0.60,2.30,6.00
510.00,-11.00,-5.70,-3.10,3.70,-6.50,2.80,-0.60,2.20,5.90
512.00,-11.40,-5.80,-2.70,4.00,-6.50,2.10,-0.20,2.00,5.80
514.00,-11.80,-5.80,-2.00,4.40,-6.10,1.70,0.10,1.70,5.70
516.00,-12.20,-5.70,-1.20,4.60,-5.40,1.50,0.20,1.30,5.60
518.00,-12.50,-5.50,-0.60,4.40,-4.70,1.60,0.00,1.10,5.50
520.00,-12.80,-5.30,-0.20,3.60,-4.20,1.90,0.10,0.90,5.30
522.00,-13.00,-5.00,-0.10,3.20,-3.90,2.30,0.70,0.80,5.20
524.00,-13.20,-4.70,-0.20,3.40,-3.50,2.50,1.40,0.60,5.00
526.00,-13.40,-4.30,-0.30,3.70,-3.10,2.60,1.70,0.40,4.80
528.00,-13.60,-4.00,-0.30,3.60,-2.70,2.70,1.60,0.20,4.50
530.00,-13.60,-3.70,-0.10,3.00,-2.50,2.80,1.30,0.20,4.30
532.00,-13.70,-3.50,0.20,2.20,-2.40,2.70,1.10,0.10,4.00
534.00,-13.80,-3.40,0.60,1.80,-2.10,2.50,0.90,-0.10,3.80
536.00,-14.00,-3.30,0.80,1.60,-1.70,2.10,0.90,-0.60,3.60
538.00,-14.10,-3.10,0.90,1.00,-1.40,1.60,1.10,-1.00,3.40
540.00,-14.10,-2.80,0.90,0.20,-1.20,1.00,1.30,-1.20,3.20
542.00,-14.10,-2.60,1.10,-0.50,-0.90,0.40,1.40,-1.40,3.00
544.00,-14.20,-2.40,1.40,-1.10,-0.80,-0.10,1.50,-1.60,2.90
546.00,-14.50,-2.30,1.80,-1.90,-0.80,-0.50,1.50,-1.80,2.80
548.00,-14.90,-2.20,2.10,-2.90,-0.70,-0.90,1.70,-1.90,2.80
550.00,-15.40,-2.10,2.10,-3.00,-0.60,-1.20,1.80,-1.90,2.90
552.00,-15.90,-2.00,1.90,-2.60,-0.70,-1.30,1.80,-1.70,2.90
554.00,-16.40,-2.00,1.80,-2.60,-1.00,-1.40,1.80,-1.60,2.90
556.00,-16.90,-2.10,2.00,-2.90,-1.40,-1.60,1.90,-1.50,2.80
558.00,-17.40,-2.40,2.30,-3.20,-1.70,-2.00,2.10,-1.60,2.70
560.00,-17.80,-2.90,2.50,-3.40,-1.80,-2.50,2.20,-1.90,2.50
562.00,-18.20,-3.40,2.70,-3.40,-1.60,-2.80,2.30,-2.10,2.40
564.00,-18.60,-4.00,2.80,-3.00,-1.30,-3.20,2.30,-1.90,2.40
566.00,-18.90,-4.60,3.00,-2.20,-0.80,-3.70,2.30,-1.40,2.50
568.00,-19.00,-5.10,3.10,-1.50,-0.40,-4.10,2.20,-0.90,2.70
570.00,-19.10,-5.60,3.10,-1.30,-0.20,-4.40,2.10,-0.80,2.70
572.00,-19.20,-6.10,3.30,-1.60,0.00,-4.50,2.20,-0.90,2.70
574.00,-19.40,-6.50,3.60,-1.70,0.50,-4.60,2.20,-1.00,2.40
576.00,-19.60,-6.80,3.90,-1.20,0.90,-4.70,2.10,-0.70,2.10
578.00,-19.80,-7.00,4.20,-0.40,1.10,-4.70,2.00,-0.30,1.80
580.00,-19.80,-7.10,4.30,0.10,1.00,-4.70,1.90,0.10,1.60
582.00,-19.70,-7.30,4.30,0.20,0.70,-4.80,1.80,0.40,1.60
584.00,-19.50,-7.50,4.30,0.00,0.30,-4.90,1.70,0.30,1.80
586.00,-19.10,-7.70,4.20,0.20,-0.10,-5.10,1.30,0.10,2.00
588.00,-18.70,-7.90,4.20,0.80,-0.20,-5.40,0.90,0.10,2.10
590.00,-18.40,-8.00,4.20,1.30,-0.10,-5.50,0.50,0.70,2.00
592.00,-18.20,-8.00,4.30,1.50,-0.30,-5.60,0.20,1.40,1.80
594.00,-18.10,-7.90,4.30,1.50,-0.60,-5.60,-0.10,1.40,1.60
596.00,-18.00,-7.80,4.10,1.60,-0.90,-5.60,-0.40,1.00,1.50
598.00,-17.90,-7.70,3.60,1.80,-0.90,-5.60,-0.50,0.70,1.40
600.00,-17.70,-7.60,3.10,1.80,-0.50,-5.40,-0.30,0.70,1.50
602.00,-17.70,-7.50,2.80,1.70,-0.40,-5.20,-0.10,1.10,1.50
604.00,-17.80,-7.30,2.60,1.50,-0.30,-5.00,-0.20,1.50,1.50
606.00,-18.00,-7.10,2.60,1.30,-0.10,-4.80,-0.40,1.50,1.40
608.00,-18.40,-6.90,2.50,1.20,0.00,-4.50,-0.60,1.10,1.30
610.00,-18.80,-6.70,2.40,1.20,0.00,-4.20,-0.70,0.90,1.10
612.00,-19.20,-6.50,2.20,1.20,-0.30,-3.90,-0.70,1.10,1.00
614.00,-19.60,-6.20,2.10,1.30,-0.70,-3.60,-0.60,1.50,0.90
616.00,-19.90,-5.80,2.00,1.30,-1.00,-3.30,-0.60,1.80,0.90
618.00,-20.20,-5.40,1.90,1.30,-1.40,-2.90,-0.80,1.80,0.90
620.00,-20.50,-5.00,1.70,1.30,-2.00,-2.50,-1.00,1.80,1.00
622.00,-20.70,-4.70,1.50,1.30,-2.60,-2.10,-1.20,1.80,1.10
624.00,-20.70,-4.40,1.30,1.10,-2.80,-1.70,-1.10,1.90,1.10
626.00,-20.70,-4.20,1.00,0.70,-2.90,-1.30,-1.10,2.10,1.10
628.00,-20.50,-3.90,0.80,0.10,-2.90,-0.90,-1.20,2.30,1.10
630.00,-20.30,-3.60,0.60,-0.30,-3.00,-0.50,-1.20,2.50,1.10
