/* DATA DESCRIPTION:
Citation:	Andersen, Katrine K; Bigler, Matthias; Buchardt, Susanne L; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Heinemeier, Jan; Johnsen, Sigfus J; Larsen, L B; Muscheler, Raimund; Olsen, G J; Rasmussen, Sune Olander; Röthlisberger, Regine; Ruth, Urs; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Vinther, Bo M (2007): Greenland Ice Core Chronology 2005 (GICC05) and 20 year means of oxygen isotope data from ice core NGRIP. PANGAEA, https://doi.org/10.1594/PANGAEA.586838
Related to:	Andersen, Katrine K; Svensson, Anders M; Johnsen, Sigfus J; Rasmussen, Sune Olander; Bigler, Matthias; Röthlisberger, Regine; Ruth, Urs; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Dahl-Jensen, Dorthe; Vinther, Bo M; Clausen, Henrik Brink (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 1: constructing the time scale. Quaternary Science Reviews, 25(23-24), 3246-3257, https://doi.org/10.1016/j.quascirev.2006.08.002
	Rasmussen, Sune Olander; Andersen, Katrine K; Svensson, Anders M; Steffensen, Jørgen Peder; Vinther, Bo M; Clausen, Henrik Brink; Siggaard-Andersen, Marie-Louise; Johnsen, Sigfus J; Larsen, L B; Dahl-Jensen, Dorthe; Bigler, Matthias; Röthlisberger, Regine; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Ruth, Urs (2006): A new Greenland ice core chronology for the last glacial termination. Journal of Geophysical Research: Atmospheres, 111, D06102, https://doi.org/10.1029/2005JD006079
	Rasmussen, Sune Olander; Seierstad, Inger K; Andersen, Katrine K; Bigler, Matthias; Dahl-Jensen, Dorthe; Johnsen, Sigfus J (2008): Synchronization of the NGRIP, GRIP, and GISP2 ice cores across MIS 2 and palaeoclimatic implications. Quaternary Science Reviews, 27(1-2), 18-28, https://doi.org/10.1016/j.quascirev.2007.01.016
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfus J; Muscheler, Raimund; Rasmussen, Sune Olander; Röthlisberger, Regine; Steffensen, Jørgen Peder; Vinther, Bo M (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 2: comparison to other records. Quaternary Science Reviews, 25(23-24), 3258-3267, https://doi.org/10.1016/j.quascirev.2006.08.003
	Vinther, Bo M; Clausen, Henrik Brink; Johnsen, Sigfus J; Rasmussen, Sune Olander; Andersen, Katrine K; Buchardt, Susanne L; Dahl-Jensen, Dorthe; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Olsen, G J; Heinemeier, Jan (2006): A synchronized dating of three Greenland ice cores throughout the Holocene. Journal of Geophysical Research: Atmospheres, 111, D13102, https://doi.org/10.1029/2005JD006921
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 7.35 m * MAXIMUM DEPTH, ice/snow: 2128.48 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Comment:	The dating of the 0-7.85 kyr BP part is described in Vinther et al., 2006. The dating of the 7.85-14.65 kyr BP part is described in Rasmussen et al., 2006. The dating of the part below 14.65 kyr BP is described in Andersen et al., 2006, Svensson et al., 2006. The transferal of GICC05 to the GRIP ice core in the 14.65-32.35 kyr BP part is described in Rasmussen et al., 2007
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age, error [±] (Age e)
	δ18O, water [‰ SMOW] (δ18O H2O) * COMMENT: 20 yera means
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	4176 data points
*/
Age [ka BP]	Depth ice/snow [m]	Age e [±]	δ18O H2O [‰ SMOW]
34.37	1985.31	1.264	-42.63
34.39	1985.64	1.265	-43.15
34.41	1986.00	1.267	-42.33
34.43	1986.32	1.268	-41.98
34.45	1986.56	1.269	-43.23
34.47	1986.87	1.270	-42.70
34.49	1987.14	1.271	-43.39
34.51	1987.43	1.272	-43.95
34.53	1987.71	1.274	-42.59
34.55	1988.00	1.275	-43.10
34.57	1988.31	1.277	-43.92
34.59	1988.61	1.278	-43.51
34.61	1988.88	1.280	-41.78
34.63	1989.26	1.282	-41.32
34.65	1989.58	1.282	-42.26
34.67	1989.94	1.283	-43.09
34.69	1990.28	1.286	-44.35
34.71	1990.74	1.286	-40.90
34.73	1991.25	1.288	-40.22
34.75	1991.75	1.289	-39.35
34.77	1992.28	1.291	-40.40
34.79	1992.79	1.291	-40.99
34.81	1993.30	1.292	-40.21
34.83	1993.79	1.293	-40.35
34.85	1994.21	1.294	-41.16
34.87	1994.67	1.295	-40.45
34.89	1995.19	1.295	-41.79
34.91	1995.66	1.297	-40.08
34.93	1996.15	1.297	-41.30
34.95	1996.54	1.298	-41.06
34.97	1997.04	1.299	-41.15
34.99	1997.52	1.299	-40.04
35.01	1998.06	1.299	-39.72
35.03	1998.50	1.300	-39.08
35.05	1999.04	1.301	-39.52
35.07	1999.58	1.302	-40.02
35.09	2000.08	1.303	-40.36
35.11	2000.63	1.304	-39.75
35.13	2001.14	1.305	-39.31
35.15	2001.70	1.307	-40.11
35.17	2002.23	1.307	-40.46
35.19	2002.75	1.309	-38.74
35.21	2003.34	1.309	-39.64
35.23	2003.89	1.311	-39.32
35.25	2004.43	1.311	-39.82
35.27	2005.00	1.312	-39.21
35.29	2005.55	1.314	-39.61
35.31	2006.09	1.315	-38.48
35.33	2006.65	1.316	-38.81
35.35	2007.16	1.317	-39.45
35.37	2007.75	1.318	-38.80
35.39	2008.32	1.319	-38.25
35.41	2008.88	1.320	-39.18
35.43	2009.44	1.321	-39.46
35.45	2009.93	1.321	-40.96
35.47	2010.33	1.323	-42.74
35.49	2010.70	1.324	-42.95
35.51	2011.04	1.324	-44.65
35.53	2011.36	1.325	-40.86
35.55	2011.65	1.326	-43.18
35.57	2011.94	1.326	-42.78
35.59	2012.23	1.328	-42.88
35.61	2012.49	1.330	-41.54
35.63	2012.82	1.330	-42.92
35.65	2013.11	1.332	-42.91
35.67	2013.43	1.333	-41.75
35.69	2013.71	1.336	-41.57
35.71	2014.03	1.337	-41.30
35.73	2014.28	1.338	-44.02
35.75	2014.58	1.338	-43.05
35.77	2014.88	1.340	-43.14
35.79	2015.18	1.342	-44.11
35.81	2015.47	1.344	-44.88
35.83	2015.75	1.347	-44.37
35.85	2016.04	1.348	-44.75
35.87	2016.33	1.349	-43.88
35.89	2016.60	1.351	-44.02
35.91	2016.91	1.352	-41.76
35.93	2017.22	1.353	-43.07
35.95	2017.51	1.355	-42.45
35.97	2017.80	1.355	-43.33
35.99	2018.10	1.356	-43.34
36.01	2018.37	1.358	-43.63
36.03	2018.69	1.360	-43.20
36.05	2018.98	1.361	-43.09
36.07	2019.27	1.362	-43.11
36.09	2019.55	1.364	-42.56
36.11	2019.82	1.365	-43.05
36.13	2020.11	1.366	-42.43
36.15	2020.42	1.368	-40.64
36.17	2020.70	1.369	-43.78
36.19	2021.00	1.372	-42.71
36.21	2021.32	1.373	-43.12
36.23	2021.63	1.373	-43.18
36.25	2021.94	1.374	-44.56
36.27	2022.25	1.376	-42.31
36.29	2022.54	1.377	-43.35
36.31	2022.85	1.378	-41.17
36.33	2023.16	1.380	-41.89
36.35	2023.50	1.382	-42.49
36.37	2023.83	1.384	-43.57
36.39	2024.15	1.385	-41.99
36.41	2024.53	1.387	-43.74
36.43	2024.97	1.389	-41.83
36.45	2025.35	1.391	-41.87
36.47	2025.71	1.393	-41.40
36.49	2026.02	1.395	-43.40
36.51	2026.33	1.396	-43.00
36.53	2026.66	1.397	-43.04
36.55	2027.03	1.398	-42.38
36.57	2027.43	1.400	-41.52
36.59	2027.78	1.401	-41.92
36.61	2028.17	1.402	-39.88
36.63	2028.60	1.403	-40.22
36.65	2029.03	1.403	-41.79
36.67	2029.47	1.403	-41.09
36.69	2029.90	1.403	-40.73
36.71	2030.34	1.404	-41.32
36.73	2030.75	1.404	-41.36
36.75	2031.20	1.405	-41.23
36.77	2031.65	1.406	-41.37
36.79	2032.15	1.407	-39.93
36.81	2032.67	1.408	-41.13
36.83	2033.18	1.410	-41.21
36.85	2033.57	1.411	-41.19
36.87	2033.93	1.412	-41.51
36.89	2034.33	1.412	-41.47
36.91	2034.74	1.412	-42.16
36.93	2035.18	1.413	-41.18
36.95	2035.62	1.413	-41.03
36.97	2036.05	1.413	-40.84
36.99	2036.52	1.414	-41.21
37.01	2036.96	1.415	-41.45
37.03	2037.39	1.416	-40.73
37.05	2037.80	1.416	-40.78
37.07	2038.23	1.417	-41.31
37.09	2038.66	1.419	-40.04
37.11	2039.16	1.419	-40.52
37.13	2039.68	1.420	-40.26
37.15	2040.22	1.420	-39.92
37.17	2040.77	1.420	-39.47
37.19	2041.31	1.420	-39.69
37.21	2041.83	1.421	-39.35
37.23	2042.36	1.421	-40.40
37.25	2042.92	1.422	-39.95
37.27	2043.46	1.423	-39.39
37.29	2044.01	1.425	-38.89
37.31	2044.54	1.425	-39.43
37.33	2045.05	1.425	-40.84
37.35	2045.54	1.426	-40.19
37.37	2046.08	1.426	-40.76
37.39	2046.67	1.426	-39.03
37.41	2047.21	1.427	-39.16
37.43	2047.79	1.427	-38.75
37.45	2048.37	1.428	-38.55
37.47	2048.97	1.428	-39.31
37.49	2049.53	1.428	-39.96
37.51	2050.11	1.428	-38.60
37.53	2050.66	1.429	-38.63
37.55	2051.29	1.429	-38.50
37.57	2051.89	1.430	-39.60
37.59	2052.44	1.430	-39.04
37.61	2053.04	1.430	-38.70
37.63	2053.65	1.431	-39.19
37.65	2054.25	1.431	-38.56
37.67	2054.86	1.432	-38.73
37.69	2055.39	1.432	-39.29
37.71	2055.97	1.432	-38.75
37.73	2056.53	1.432	-39.11
37.75	2057.08	1.433	-38.89
37.77	2057.70	1.433	-39.04
37.79	2058.28	1.434	-39.37
37.81	2058.86	1.435	-38.75
37.83	2059.44	1.436	-39.66
37.85	2060.05	1.436	-39.17
37.87	2060.71	1.437	-38.92
37.89	2061.26	1.438	-39.18
37.91	2061.84	1.438	-38.97
37.93	2062.49	1.438	-38.13
37.95	2063.13	1.438	-39.07
37.97	2063.68	1.440	-38.88
37.99	2064.33	1.441	-38.16
38.01	2064.99	1.441	-38.75
38.03	2065.63	1.441	-39.01
38.05	2066.22	1.444	-38.67
38.07	2066.90	1.445	-38.21
38.09	2067.60	1.446	-37.87
38.11	2068.25	1.446	-38.22
38.13	2068.90	1.447	-38.53
38.15	2069.50	1.448	-37.58
38.17	2070.02	1.449	-39.55
38.19	2070.40	1.450	-42.16
38.21	2070.71	1.451	-41.77
38.23	2071.02	1.451	-42.12
38.25	2071.33	1.452	-42.10
38.27	2071.70	1.453	-42.05
38.29	2072.04	1.454	-42.62
38.31	2072.39	1.455	-43.30
38.33	2072.70	1.457	-43.48
38.35	2072.99	1.460	-41.51
38.37	2073.28	1.461	-43.54
38.39	2073.59	1.462	-39.90
38.41	2073.92	1.463	-41.88
38.43	2074.17	1.465	-43.58
38.45	2074.52	1.465	-41.92
38.47	2074.82	1.467	-41.41
38.49	2075.11	1.468	-44.24
38.51	2075.39	1.469	-43.00
38.53	2075.73	1.470	-43.10
38.55	2076.04	1.470	-41.80
38.57	2076.30	1.471	-44.31
38.59	2076.59	1.471	-42.12
38.61	2076.91	1.472	-42.77
38.63	2077.20	1.473	-42.74
38.65	2077.49	1.475	-43.76
38.67	2077.77	1.476	-44.41
38.69	2078.08	1.476	-42.34
38.71	2078.39	1.478	-43.42
38.73	2078.70	1.478	-42.78
38.75	2079.03	1.479	-44.18
38.77	2079.30	1.479	-43.23
38.79	2079.64	1.480	-43.39
38.81	2079.88	1.481	-43.54
38.83	2080.19	1.481	-42.41
38.85	2080.47	1.482	-41.67
38.87	2080.75	1.484	-42.86
38.89	2081.07	1.485	-43.23
38.91	2081.42	1.488	-41.34
38.93	2081.76	1.490	-42.51
38.95	2082.05	1.491	-41.68
38.97	2082.36	1.492	-43.85
38.99	2082.69	1.495	-44.43
39.01	2082.97	1.497	-45.16
39.03	2083.24	1.497	-42.13
39.05	2083.51	1.498	-43.08
39.07	2083.80	1.499	-44.58
39.09	2084.05	1.500	-43.24
39.11	2084.36	1.503	-43.68
39.13	2084.66	1.504	-43.45
39.15	2084.96	1.504	-42.28
39.17	2085.23	1.506	-43.00
39.19	2085.52	1.508	-44.15
39.21	2085.83	1.510	-43.43
39.23	2086.09	1.512	-44.21
39.25	2086.37	1.513	-43.40
39.27	2086.65	1.515	-42.61
39.29	2086.93	1.517	-44.15
39.31	2087.19	1.519	-42.37
39.33	2087.50	1.521	-43.58
39.35	2087.84	1.522	-43.74
39.37	2088.10	1.524	-43.61
39.39	2088.42	1.526	-41.92
39.41	2088.70	1.528	-41.65
39.43	2088.95	1.530	-44.66
39.45	2089.21	1.531	-44.17
39.47	2089.47	1.532	-44.32
39.49	2089.75	1.534	-43.43
39.51	2090.04	1.535	-42.24
39.53	2090.30	1.537	-42.56
39.55	2090.59	1.541	-41.71
39.57	2090.85	1.542	-44.69
39.59	2091.15	1.544	-43.47
39.61	2091.39	1.546	-43.03
39.63	2091.65	1.547	-42.35
39.65	2091.94	1.548	-42.48
39.67	2092.18	1.551	-43.06
39.69	2092.46	1.553	-44.26
39.71	2092.72	1.556	-42.15
39.73	2092.97	1.557	-43.67
39.75	2093.23	1.559	-42.32
39.77	2093.49	1.561	-42.84
39.79	2093.74	1.564	-44.11
39.81	2094.00	1.566	-43.49
39.83	2094.31	1.569	-43.54
39.85	2094.64	1.569	-42.61
39.87	2094.97	1.570	-42.21
39.89	2095.27	1.570	-42.19
39.91	2095.58	1.572	-42.19
39.93	2095.92	1.573	-41.60
39.95	2096.31	1.574	-40.85
39.97	2096.73	1.574	-40.35
39.99	2097.14	1.574	-40.83
40.01	2097.56	1.576	-40.71
40.03	2097.98	1.576	-40.50
40.05	2098.40	1.577	-39.67
40.07	2098.85	1.578	-40.59
40.09	2099.25	1.579	-39.45
40.11	2099.61	1.580	-40.84
40.13	2099.97	1.580	-42.55
40.15	2100.35	1.582	-43.72
40.17	2100.68	1.583	-42.58
40.19	2100.97	1.584	-42.09
40.21	2101.28	1.585	-42.53
40.23	2101.63	1.587	-42.07
40.25	2101.93	1.587	-42.49
40.27	2102.26	1.588	-42.12
40.29	2102.60	1.589	-41.98
40.31	2102.93	1.591	-42.40
40.33	2103.28	1.592	-42.41
40.35	2103.59	1.594	-41.76
40.37	2103.87	1.595	-42.37
40.39	2104.13	1.596	-42.28
40.41	2104.43	1.597	-43.00
40.43	2104.73	1.598	-42.07
40.45	2105.04	1.599	-42.32
40.47	2105.36	1.600	-41.79
40.49	2105.67	1.601	-41.92
40.51	2105.97	1.603	-42.41
40.53	2106.26	1.604	-43.40
40.55	2106.57	1.606	-43.00
40.57	2106.89	1.607	-42.58
40.59	2107.21	1.607	-45.42
40.61	2107.54	1.607	-42.57
40.63	2107.86	1.608	-42.49
40.65	2108.16	1.609	-42.86
40.67	2108.43	1.610	-44.29
40.69	2108.81	1.611	-42.54
40.71	2109.13	1.612	-44.53
40.73	2109.40	1.614	-43.86
40.75	2109.71	1.615	-43.19
40.77	2110.05	1.616	-41.04
40.79	2110.34	1.616	-42.59
40.81	2110.69	1.618	-41.46
40.83	2111.04	1.618	-42.63
40.85	2111.37	1.618	-41.98
40.87	2111.71	1.619	-42.35
40.89	2112.04	1.619	-41.30
40.91	2112.38	1.620	-42.16
40.93	2112.78	1.621	-40.41
40.95	2113.17	1.622	-41.18
40.97	2113.62	1.622	-40.80
40.99	2114.03	1.623	-39.59
41.01	2114.42	1.623	-39.83
41.03	2114.79	1.624	-40.35
41.05	2115.20	1.624	-39.60
41.07	2115.67	1.624	-39.22
41.09	2116.07	1.625	-40.36
41.11	2116.57	1.625	-39.70
41.13	2117.01	1.625	-41.25
41.15	2117.49	1.625	-39.25
41.17	2117.94	1.626	-39.36
41.19	2118.39	1.627	-40.13
41.21	2118.92	1.627	-39.84
41.23	2119.42	1.628	-39.94
41.25	2119.93	1.628	-38.34
41.27	2120.41	1.629	-39.47
41.29	2120.91	1.631	-39.41
41.31	2121.40	1.631	-39.97
41.33	2121.89	1.632	-38.94
41.35	2122.45	1.632	-38.82
41.37	2123.02	1.632	-38.56
41.39	2123.60	1.633	-38.36
41.41	2124.03	1.633	-39.79
41.43	2124.45	1.633	-41.75
41.45	2124.72	1.635	-43.22
41.47	2125.02	1.637	-42.27
41.49	2125.35	1.639	-41.32
41.51	2125.67	1.640	-43.49
41.53	2125.95	1.641	-42.76
41.55	2126.21	1.642	-42.71
41.57	2126.48	1.645	-41.75
41.59	2126.79	1.647	-42.31
41.61	2127.06	1.649	-41.70
41.63	2127.35	1.651	-43.61
41.65	2127.64	1.652	-42.91
41.67	2127.94	1.653	-41.92
41.69	2128.20	1.654	-41.67
41.71	2128.48	1.656	-43.75
