# Weather station Innsbruck (airport), Austria, WMO_ID=11120,selection from 01.01.2019 till 31.12.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11120&lang=en
#
"Local time in Innsbruck (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2019 14:00";"1.9";"724.6";"779.4";"-0.6";"79";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"26.0";"-1.4";"No precipitation";"1";"";"";"";"";
"28.12.2019 13:00";"1.8";"724.9";"779.8";"-0.2";"78";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"26.0";"-1.6";"No precipitation";"1";"";"";"";"";
"28.12.2019 12:00";"1.3";"725.3";"780.3";"0.6";"81";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"23.0";"-1.7";"No precipitation";"1";"";"";"";"";
"28.12.2019 11:00";"0.9";"725.2";"780.3";"1.1";"86";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"-1.2";"No precipitation";"1";"";"";"";"";
"28.12.2019 10:00";"0.4";"725.1";"780.2";"1.5";"89";"Wind blowing from the east-northeast";"4";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"13.0";"-1.3";"No precipitation";"1";"";"";"";"";
"28.12.2019 09:00";"0.5";"724.7";"779.8";"1.5";"89";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"13.0";"-1.2";"No precipitation";"1";"";"";"";"";
"28.12.2019 08:00";"0.8";"724.1";"779.1";"1.3";"87";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"13.0";"-1.1";"No precipitation";"1";"";"";"";"";
"28.12.2019 07:00";"1.0";"723.6";"778.5";"0.9";"86";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"0.4";"";"";"";"200-300";"";"";"15.0";"-1.1";"4.0";"12";"";"";"";"";
"28.12.2019 06:00";"1.2";"723.2";"778.0";"0.6";"87";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"15.0";"-0.7";"No precipitation";"1";"";"";"";"";
"28.12.2019 05:00";"1.4";"722.8";"777.6";"0.2";"87";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"15.0";"-0.5";"No precipitation";"1";"";"";"";"";
"28.12.2019 04:00";"1.3";"722.7";"777.4";"0.5";"96";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"9.0";"0.7";"No precipitation";"1";"";"";"";"";
"28.12.2019 03:00";"1.1";"722.6";"777.4";"0.7";"97";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"9.0";"0.7";"Trace of precipitation";"1";"";"";"";"";
"28.12.2019 02:00";"0.8";"722.6";"777.4";"1.2";"97";"Wind blowing from the north";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"12.0";"0.4";"0.4";"1";"";"";"";"";
"28.12.2019 01:00";"0.6";"722.2";"777.0";"1.4";"97";"Wind blowing from the north";"2";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"0.2";"4.0";"6";"";"";"";"";
"28.12.2019 00:00";"0.9";"721.9";"776.6";"1.6";"97";"Wind blowing from the north";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"200-300";"";"";"5.0";"0.5";"0.2";"1";"";"";"";"";
"27.12.2019 23:00";"0.7";"721.4";"776.2";"";"97";"Calm, no wind";"0";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"0.3";"0.8";"1";"";"";"";"";
"27.12.2019 22:00";"0.6";"720.8";"775.6";"1.9";"97";"Wind blowing from the north";"1";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"0.2";"0.5";"1";"";"";"";"";
"27.12.2019 21:00";"0.5";"720.3";"775.0";"2.0";"96";"Wind blowing from the north";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"0.0";"0.7";"1";"";"";"";"";
"27.12.2019 20:00";"0.7";"719.8";"774.4";"2.1";"96";"Wind blowing from the north";"1";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"4.6";"0.1";"1.0";"1";"";"";"";"";
"27.12.2019 19:00";"1.5";"718.9";"773.3";"1.8";"94";"Wind blowing from the north";"1";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"2.2";"";"";"100-200";"";"";"7.0";"0.7";"6.0";"12";"";"";"";"";
"27.12.2019 18:00";"1.3";"718.3";"772.7";"1.8";"94";"Wind blowing from the north";"3";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"0.5";"0.9";"1";"";"";"";"";
"27.12.2019 17:00";"1.8";"717.7";"772.0";"1.8";"95";"Wind blowing from the north";"1";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"1.0";"0.9";"1";"";"";"";"";
"27.12.2019 16:00";"2.1";"717.1";"771.3";"1.4";"94";"Wind blowing from the north";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"1.2";"0.8";"1";"";"";"";"";
"27.12.2019 15:00";"2.1";"716.5";"770.6";"0.9";"91";"Wind blowing from the north";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"12.0";"0.8";"0.2";"1";"";"";"";"";
"27.12.2019 14:00";"1.9";"715.9";"770.1";"0.2";"93";"Wind blowing from the north";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"15.0";"0.8";"1.0";"1";"";"";"";"";
"27.12.2019 13:00";"1.7";"715.7";"769.9";"0.4";"94";"Wind blowing from the north";"1";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"7.0";"0.8";"2.0";"6";"";"";"";"";
"27.12.2019 12:00";"1.1";"715.6";"769.8";"0.5";"96";"Wind blowing from the north";"1";"";"";"100%.";"Rain or drizzle and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"8.0";"0.5";"0.5";"1";"";"";"";"";
"27.12.2019 11:00";"0.8";"715.7";"770.0";"0.8";"96";"Wind blowing from the north";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"0.2";"0.5";"1";"";"";"";"";
