date,mean_temp (deg C),min_temp (deg C),max_temp (deg C),mean_pressure (mb),mean_humidity (%),mean_wind (ms-1),precip_sum (mm),month,month-year,year
2015-06-30,22.499999999999996,13.4,30.3,762.0041666666666,47.583333333333336,3.8333333333333335,0.0,Jun,Jun-2015,2015
2015-07-01,27.66521739130435,20.7,36.7,756.8000000000002,44.391304347826086,4.956521739130435,0.0,Jul,Jul-2015,2015
2015-07-02,20.641666666666662,17.3,26.2,761.5333333333334,69.29166666666667,4.166666666666667,0.0,Jul,Jul-2015,2015
2015-07-03,20.125,13.0,27.2,765.3916666666665,59.375,4.083333333333333,0.0,Jul,Jul-2015,2015
2015-07-04,21.313043478260866,17.1,27.2,761.0695652173914,69.30434782608695,5.0,18.0,Jul,Jul-2015,2015
2015-07-05,17.760869565217387,13.8,24.7,761.2782608695653,63.91304347826087,3.9130434782608696,0.0,Jul,Jul-2015,2015
2015-07-06,17.777272727272727,12.4,23.7,761.75,63.90909090909091,4.681818181818182,0.0,Jul,Jul-2015,2015
2015-07-07,18.566666666666666,15.1,24.3,754.9791666666666,62.333333333333336,6.458333333333333,0.0,Jul,Jul-2015,2015
2015-07-08,17.208333333333336,13.6,21.5,756.3083333333333,64.83333333333333,6.291666666666667,0.8,Jul,Jul-2015,2015
2015-07-09,17.283333333333335,10.9,23.1,764.5208333333335,47.666666666666664,3.2916666666666665,0.0,Jul,Jul-2015,2015
2015-07-10,19.900000000000002,13.0,26.7,762.8416666666667,48.291666666666664,3.7916666666666665,0.0,Jul,Jul-2015,2015
2015-07-11,20.082608695652173,14.4,26.0,760.1782608695652,51.69565217391305,4.478260869565218,0.0,Jul,Jul-2015,2015
2015-07-12,17.612499999999997,15.1,22.6,760.5749999999999,80.70833333333333,5.75,3.8000000000000003,Jul,Jul-2015,2015
2015-07-13,17.85,16.3,20.8,759.2083333333334,87.75,5.375,4.6000000000000005,Jul,Jul-2015,2015
2015-07-14,18.64166666666667,16.8,22.9,760.5916666666666,79.41666666666667,4.583333333333333,0.0,Jul,Jul-2015,2015
2015-07-15,18.878260869565217,17.1,22.5,761.4043478260871,79.3913043478261,3.130434782608696,4.0,Jul,Jul-2015,2015
2015-07-16,19.558333333333337,14.9,25.3,759.8791666666666,67.04166666666667,4.541666666666667,0.0,Jul,Jul-2015,2015
2015-07-17,19.234782608695653,14.9,24.8,756.4166666666669,70.3913043478261,5.5,14.4,Jul,Jul-2015,2015
2015-07-18,17.5625,12.1,23.6,760.1125000000001,58.125,4.541666666666667,0.0,Jul,Jul-2015,2015
2015-07-19,18.895652173913046,13.9,24.9,755.8521739130435,53.91304347826087,4.956521739130435,0.8,Jul,Jul-2015,2015
2015-07-20,18.370833333333334,14.0,24.7,755.3458333333334,81.16666666666667,4.291666666666667,0.4,Jul,Jul-2015,2015
2015-07-21,19.374999999999996,13.2,26.5,757.0166666666668,63.0,6.041666666666667,0.0,Jul,Jul-2015,2015
2015-07-22,18.00454545454545,14.5,23.0,758.9318181818181,66.95454545454545,4.409090909090909,0.4,Jul,Jul-2015,2015
2015-07-23,16.900000000000002,11.4,22.4,760.8874999999998,60.875,3.5,0.0,Jul,Jul-2015,2015
2015-07-24,14.962499999999999,12.8,17.4,755.4500000000002,78.375,2.8333333333333335,33.0,Jul,Jul-2015,2015
2015-07-25,15.991666666666667,11.4,21.7,756.9791666666666,64.375,4.916666666666667,18.0,Jul,Jul-2015,2015
2015-07-26,14.347826086956525,12.1,17.2,752.1739130434783,83.52173913043478,4.956521739130435,13.0,Jul,Jul-2015,2015
2015-07-27,16.75217391304348,14.7,20.9,747.9260869565217,73.52173913043478,7.956521739130435,0.2,Jul,Jul-2015,2015
2015-07-28,16.008695652173913,12.9,20.8,752.1782608695652,63.608695652173914,7.608695652173913,0.0,Jul,Jul-2015,2015
2015-07-29,14.475000000000001,9.7,20.3,756.15,67.0,4.75,0.2,Jul,Jul-2015,2015
2015-07-30,15.25416666666667,10.2,20.3,761.3916666666669,58.791666666666664,3.6666666666666665,0.0,Jul,Jul-2015,2015
2015-07-31,16.120833333333337,8.7,22.7,761.7333333333335,56.333333333333336,2.5416666666666665,0.0,Jul,Jul-2015,2015
2015-08-01,16.33913043478261,9.4,21.5,760.2217391304346,61.04347826086956,3.391304347826087,0.0,Aug,Aug-2015,2015
2015-08-02,18.46521739130435,12.2,26.2,760.4521739130433,63.21739130434783,3.652173913043478,0.0,Aug,Aug-2015,2015
2015-08-03,19.495833333333337,15.6,25.1,755.8874999999999,64.95833333333333,5.583333333333333,0.0,Aug,Aug-2015,2015
2015-08-04,17.578260869565216,13.4,22.4,757.4652173913042,62.26086956521739,6.695652173913044,0.0,Aug,Aug-2015,2015
2015-08-05,16.683333333333334,14.8,22.0,758.0499999999998,71.58333333333333,3.4166666666666665,3.0,Aug,Aug-2015,2015
2015-08-06,18.600000000000005,13.7,23.9,757.2791666666667,71.16666666666667,4.625,2.0,Aug,Aug-2015,2015
2015-08-07,18.436363636363634,12.5,24.8,761.0636363636364,58.81818181818182,2.272727272727273,0.0,Aug,Aug-2015,2015
2015-08-08,20.263636363636365,14.5,26.6,764.8227272727273,63.81818181818182,3.227272727272727,0.0,Aug,Aug-2015,2015
2015-08-09,19.837499999999995,12.5,26.6,763.1541666666666,59.375,3.7083333333333335,0.0,Aug,Aug-2015,2015
2015-08-10,19.28695652173913,17.0,22.7,760.8304347826087,78.56521739130434,4.913043478260869,0.0,Aug,Aug-2015,2015
2015-08-11,17.327272727272724,13.9,21.3,762.8454545454545,68.86363636363636,2.0,0.0,Aug,Aug-2015,2015
2015-08-12,18.57916666666667,15.0,23.4,765.0124999999998,69.20833333333333,3.75,2.4,Aug,Aug-2015,2015
2015-08-13,18.249999999999996,16.1,20.3,759.0375,84.83333333333333,3.9166666666666665,11.0,Aug,Aug-2015,2015
2015-08-14,17.8,16.0,21.3,752.3916666666668,90.54166666666667,3.25,1.6,Aug,Aug-2015,2015
