Event	IGSN	Sample label	Samp type	Latitude	Longitude	Mineral	Position	SiO2 [%]	TiO2 [%]	Al2O3 [%]	FeO [%]	MnO [%]	MgO [%]	CaO [%]	Na2O [%]	K2O [%]	Cr2O3 [%]	NiO [%]	Total [%]	δ18O [‰]	δ18O std dev [±]	Si [# of ions]	Ti [# of ions]	Al [# of ions]	Cr [# of ions]	Fe2+ [# of ions]	Fe3+ [# of ions]	Mn2+ [# of ions]	Mg [# of ions]	Ca [# of ions]	Na [# of ions]	K [# of ions]	Ni [# of ions]	Cat [#]	Mg#	En [%]	Fs [%]	Wo [%]	An [%]	Ab [%]	Or [%]
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 2	core	54.29	0.37	1.39	16.92	0.26	24.96	1.99	0.08	#0.00	0.11	#0.00	100.36			1.97	0.01	0.06	0.00	0.51	0.00	0.01	1.35	0.08	0.01	0.00	0.00	3.99	72.00	69.00	27	4			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 3	core	55.31	0.17	1.43	13.80	0.26	27.46	1.68	0.02	#0.00	0.19	#0.00	100.32			1.97	0.00	0.06	0.01	0.41	0.00	0.01	1.46	0.06	0.00	0.00	0.00	3.99	78.00	75.00	22	3			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 4	in PLAG.	56.07	0.08	1.36	8.97	0.27	31.64	1.70	0.04	#0.00	0.00	#0.00	100.13			1.96	0.00	0.06	0.00	0.26	0.00	0.01	1.65	0.06	0.00	0.00	0.00	4.01	86.00	83.00	14	3			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 5	OPX surr. Ol	55.33	0.18	3.18	9.82	0.22	29.75	2.06	0.04	0.01	0.17	#0.00	100.75			1.93	0.00	0.13	0.00	0.29	0.00	0.01	1.55	0.08	0.00	0.00	0.00	4.00	84.00	81.00	15	4			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 6	OPX surr. Ol	55.72	0.14	2.15	9.98	0.19	29.82	1.55	0.05	#0.00	0.35	#0.00	99.95			1.96	0.00	0.09	0.01	0.29	0.00	0.01	1.56	0.06	0.00	0.00	0.00	3.99	84.00	81.00	16	3			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 7	OPX surr. Ol	55.40	0.11	2.37	9.45	0.24	30.10	1.54	0.05	#0.00	0.38	#0.00	99.65			1.95	0.00	0.10	0.01	0.28	0.00	0.01	1.58	0.06	0.00	0.00	0.00	3.99	85.00	82.00	15	3			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 8	OPX surr. Ol	54.96	0.15	3.37	9.73	0.16	29.55	1.99	0.07	#0.00	0.17	#0.00	100.15			1.93	0.00	0.14	0.00	0.29	0.00	0.00	1.55	0.07	0.00	0.00	0.00	4.00	84.00	81.00	15	4			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 9	OPX surr. Ol	55.79	0.14	2.16	8.58	0.25	31.10	1.74	0.06	#0.00	0.58	#0.00	100.40			1.95	0.00	0.09	0.02	0.25	0.00	0.01	1.62	0.07	0.00	0.00	0.00	4.00	86.00	83.00	13	3			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 10	OPX surr. Ol	56.04	0.11	2.35	8.66	0.27	31.01	1.65	0.02	0.01	0.57	#0.00	100.69			1.95	0.00	0.10	0.02	0.25	0.00	0.01	1.61	0.06	0.00	0.00	0.00	3.99	86.00	83.00	13	3			
Pukeonake	hdl:10273/IELEG0004	NZ9	Pukeonake	-39.145109	175.565720	OPX 1	core	54.43	0.28	1.40	17.15	0.32	25.53	1.99	0.08	0.01	0.11		101.31			1.96	0.01	0.06	0.00	0.52	0.00	0.01	1.37	0.08	0.01	0.00		4.01	72.00	69.00	27	4			
