OBJECTID,name,nr,Shape_Leng,Shape_Area,year
216,Obersulzbach Kees,5129,9906.48567803259,1903920.16726684000,2015
732,Sexegerten Ferner,14016,13376.54379980080,1665132.72579193000,2015
691,Vernagt Ferner,2133,10451.22690558840,1624533.56324386000,2015
896,Teischnitz Kees,6110,7424.07058416610,1590548.36739349000,2015
234,Viltragen Kees,6078,10158.95536995270,1582625.37070465000,2015
726,Mittelberg Ferner,14008,8929.05118972679,1581295.38134765000,2015
899,Laperwitz Kees,6107,7371.52748966601,1579849.92863464000,2015
295,Bachfallen Ferner,2012,7614.57995473593,1574567.05901336000,2015
879,Wasserfallwinkel,4028,6499.94814140449,1501785.10832214000,2015
590,Wildgerlos Kees M,9003,8225.98376616104,1481884.44046020000,2015
959,Grosselend Kees,21014,9947.07864661491,1477899.62406921000,2015
259,Dorfer Kees,6052,9107.18102367673,1454678.46411132000,2015
0,Oedenwinklkess,5094,9430.25453620905,1420135.54099273000,2016
714,Rettenbach Ferner,2150,7385.38495101075,1400064.96883392000,2015
799,Hochgruber Kees,5053,13243.93938773170,1395296.50746917000,2015
388,Gr├╝nau Ferner,3030,12479.33797426110,1365892.64041900000,2015
253,Simony Kees,6045,8119.49358073651,1332132.97393798000,2015
392,Fernau Ferner,3034,7491.68175045877,1317569.73740386000,2015
672,Niederjoch Ferner,2111,9716.81199641438,1269241.03625869000,2015
268,Maurer Kees W,6046,6149.79491146016,1254828.57420349000,2015
331,Triebenkarlas Ferner,2041,9739.44586259286,1253655.22534942000,2015
301,Schwarzenberg Ferner,2017,6566.72024716012,1241141.81066894000,2015
642,Rotmoos Ferner,2063,5197.05498903623,1225453.94143676000,2015
1128,Stampfl Kees,9091,5542.54051249708,1179988.78192138000,2015
729,Brunnenkogel Ferner,14010,8698.24288594900,1161917.42148590000,2015
690,Guslar Ferner gr.,2132,8048.84621878062,1141311.17580413000,2015
895,K├Âdnitz Kees,6112,5612.25022363070,1095551.96409606000,2015
393,Daunkogel Ferner,3036,5919.39143328744,1090256.81010437000,2015
261,Dorfer Kees,6052,7612.06124437897,1042245.87989044000,2015
174,K├ñferfeld Kees,5125,12356.03698870230,1038590.39513397000,2015
1108,Maurer Kees M,6048,9235.58607206162,1033038.56499481000,2015
478,Fleischbach Kees N,6010,4977.88876535812,1028805.99980926000,2015
678,Hochjoch Ferner,2121,6131.34399526433,1006007.91659545000,2015
596,Seekarles Ferner,14033,4981.34262978601,991378.31735229400,2015
725,Karles Ferner,14007,6516.78468532954,987916.51562500000,2015
1144,Schaufel Ferner,3035,8848.81555138430,980709.98529815600,2015
1145,Taschach Ferner W,14015,9558.91983763652,978524.12721252400,2015
919,Grosser Gosau Gletscher,11004,5402.14592327123,972345.85813903800,2015
697,Rofenkar Ferner,2136,8493.65912053582,964523.41589355400,2015
213,├Âstliches Sonntags Kees,5130,6871.64153897645,962376.37967681800,2015
502,Latsch Ferner,2096,6857.06659141964,956608.51204681300,2015
755,Sonnblick Kees,5097,8037.58397838818,923730.77226257300,2015
641,Rotmoos Ferner,2063,10782.48136813150,909607.58676147400,2015
322,W├╝tenkar Ferner,2034,5522.17081369866,890358.42315673800,2015
878,Hoffmanns Kees,4026,8368.71098235731,850427.57318878100,2015
777,Schlegeis Kees,9087,6423.39844359543,835722.06394195500,2015
639,Gaissberg Ferner,2060,7083.36296834908,829890.84599304100,2015
402,Hochmoos Ferner,3043,6662.92828952155,828559.60286712600,2015
708,Tiefenbach Ferner,2143,7578.41391786352,828096.01058959900,2015
214,├Âstliches Sonntags Kees,5130,5736.92138189635,826606.37136840800,2015
834,Schmiedinger Kees,5081,6653.73392513111,800164.65003967200,2015
1141,Eis Ferner,2116,7220.24876561590,773576.84020996000,2015
552,Malham Kees S,6043,5217.61232462214,764702.45040893500,2015
