171011 80 OPL 20 PDMS 13,7 Fe 600 - 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed at 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;
5.16E-06;-9.23E-08;-0.01788;-1.81E-04;-0.018116;-2.78E-07;1.04E-06;1240;20.7;1240;5.242;
-2.47E-06;4.42E-08;-0.01788;-1.83E-04;-0.018287;1.33E-07;-4.97E-07;1250;20.8;1250;5.293;
7.49E-06;1.20E-07;0.01597;-1.82E-04;-0.018148;3.60E-07;1.51E-06;1260.01;21;1260;5.331;
-6.76E-06;1.21E-07;-0.01788;-1.82E-04;-0.01818;3.64E-07;-1.36E-06;1270;21.2;1270;5.293;
-2.04E-06;3.64E-08;-0.01787;-1.83E-04;-0.018337;1.10E-07;-4.10E-07;1280;21.3;1280;5.271;
-1.67E-06;2.99E-08;-0.01788;-1.83E-04;-0.018273;9.01E-08;-3.37E-07;1290;21.5;1290;5.255;
-8.58E-06;1.53E-07;-0.01788;-1.78E-04;-0.017799;4.62E-07;-1.73E-06;1300;21.7;1300;5.275;
-4.87E-06;8.71E-08;-0.01788;-1.83E-04;-0.018247;2.62E-07;-9.80E-07;1310.01;21.8;1310;5.215;
-3.27E-06;5.85E-08;-0.01788;-1.83E-04;-0.018328;1.76E-07;-6.58E-07;1320;22;1320;5.193;
-1.89E-06;3.38E-08;-0.01788;-1.86E-04;-0.018566;1.02E-07;-3.80E-07;1330;22.2;1330;5.22;
2.18E-07;-3.90E-09;-0.01788;-1.83E-04;-0.018287;-1.18E-08;4.39E-08;1340;22.3;1340;5.242;
2.55E-06;-4.55E-08;-0.01788;-1.86E-04;-0.018639;-1.37E-07;5.12E-07;1350;22.5;1350;5.245;
-1.25E-05;2.24E-07;-0.01788;-1.85E-04;-0.018537;6.74E-07;-2.52E-06;1360;22.7;1360;5.186;
-3.05E-06;5.46E-08;-0.01788;-1.79E-04;-0.017889;1.64E-07;-6.14E-07;1370;22.8;1370;5.244;
-7.27E-07;1.30E-08;-0.01788;-1.87E-04;-0.018694;3.92E-08;-1.46E-07;1380.01;23;1380;5.216;
-6.62E-06;1.18E-07;-0.01787;-1.85E-04;-0.018471;3.56E-07;-1.33E-06;1390;23.2;1390;5.178;
3.85E-06;-6.89E-08;-0.01788;-1.86E-04;-0.018587;-2.08E-07;7.75E-07;1400.02;23.3;1400;5.204;
-6.54E-06;1.17E-07;-0.01788;-1.88E-04;-0.018764;3.52E-07;-1.32E-06;1410;23.5;1410;5.246;
