/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
901.8	167	117	76
902	164	116	75
902.2	164	116	75
902.4	165	116	75
902.6	164	116	75
902.8	162	114	74
903	160	112	73
903.2	158	110	71
903.4	163	113	74
903.6	157	109	71
903.8	155	108	70
904	160	113	73
904.2	156	110	71
904.4	162	115	74
904.6	161	115	75
904.8	157	114	74
905	154	112	74
905.2	149	109	71
905.4	144	104	68
905.6	151	110	72
905.8	151	111	73
906	141	104	68
906.2	130	95	62
906.4	130	93	60
906.6	149	104	66
906.8	167	116	74
907	179	125	80
907.2	173	121	78
907.4	154	105	67
907.6	157	105	66
907.8	169	116	74
908	171	120	78
908.2	157	107	69
908.4	159	108	68
908.6	164	112	71
908.8	164	112	72
909	167	115	74
909.2	170	118	76
909.4	172	120	77
909.6	172	120	77
909.8	165	115	74
910	161	111	72
910.2	161	111	71
910.4	163	112	72
910.6	158	110	71
910.8	143	97	63
911	143	97	62
911.2	148	100	64
911.4	151	103	66
911.6	154	107	69
911.8	164	115	74
912	169	120	78
912.2	169	120	78
912.4	165	117	76
912.6	167	118	77
912.8	171	121	79
913	172	121	79
913.2	180	128	83
913.4	183	129	84
913.6	184	129	84
913.8	193	136	88
914	171	120	79
914.2	157	110	71
914.4	158	112	72
914.6	156	111	71
914.8	147	105	68
915	132	94	61
915.2	115	81	53
915.4	107	75	49
915.6	123	86	56
915.8	144	102	66
916	146	103	66
916.2	144	100	64
916.4	155	106	67
916.6	174	120	76
916.8	181	126	81
917	182	124	79
917.2	178	121	76
917.4	163	111	70
917.6	151	104	66
917.8	147	102	65
918	154	106	68
918.2	156	109	70
918.4	156	110	70
918.6	160	112	72
918.8	165	115	74
919	165	114	74
919.2	173	119	76
919.4	177	123	79
919.6	178	124	81
919.8	170	119	77
920	150	105	68
920.2	136	95	62
920.4	130	91	59
920.6	128	90	58
920.8	130	92	60
921	130	92	61
921.2	143	102	66
921.4	153	109	72
921.6	152	108	71
921.8	161	114	74
922	160	114	74
922.2	151	108	70
922.4	148	106	69
922.6	150	107	69
922.8	136	96	62
923	149	104	66
923.2	196	137	87
923.4	214	151	97
923.6	202	142	91
923.8	200	140	90
924	198	139	89
924.2	190	133	86
924.4	190	133	85
924.6	195	137	88
924.8	192	135	87
925	186	131	85
925.2	183	129	84
925.4	184	130	84
925.6	188	132	85
925.8	191	134	86
926	193	135	86
926.2	199	139	89
926.4	202	141	90
926.6	205	142	91
926.8	208	144	92
927	209	144	91
927.2	207	142	90
927.4	203	139	89
927.6	196	135	86
927.8	190	130	83
928	186	127	80
928.2	185	126	80
928.4	183	125	79
928.6	171	117	74
928.8	158	108	68
929	153	105	66
929.2	138	95	60
929.4	126	84	52
929.6	130	88	55
929.8	137	93	58
930	150	102	64
930.2	161	110	68
930.4	164	110	68
930.6	164	109	67
930.8	162	108	66
931	159	106	66
931.2	158	105	65
931.4	159	107	66
931.6	155	104	64
931.8	150	100	62
932	140	93	58
932.2	131	86	54
932.4	123	82	51
932.6	116	78	48
932.8	126	83	51
933	140	92	57
933.2	148	96	59
933.4	154	101	63
933.6	142	94	60
933.8	116	77	50
934	110	72	46
934.2	120	80	51
934.4	129	86	55
934.6	138	93	59
934.8	145	98	63
935	145	98	63
935.2	151	103	65
935.4	146	100	64
935.6	139	94	60
935.8	148	101	64
936	130	90	57
936.2	111	77	50
936.4	105	75	49
936.6	112	79	51
936.8	121	85	54
937	138	95	60
937.2	142	97	61
937.4	145	97	61
937.6	158	108	69
937.8	163	111	70
938	168	114	72
938.2	167	113	72
938.4	163	110	69
938.6	160	108	68
938.8	158	106	67
939	157	106	67
939.2	155	104	65
939.4	155	105	66
939.6	160	109	68
939.8	165	112	71
940	161	110	69
940.2	158	107	67
940.4	152	103	65
940.6	137	93	58
940.8	124	83	52
941	119	79	49
941.2	133	89	55
941.4	146	98	60
941.6	158	105	64
941.8	173	116	71
942	179	120	74
942.2	173	116	72
942.4	166	112	70
942.6	158	108	68
942.8	154	105	66
943	158	107	67
943.2	159	108	68
943.4	154	103	65
943.6	152	102	64
943.8	153	104	65
944	148	100	63
944.2	144	97	61
944.4	152	102	64
944.6	156	105	66
944.8	156	107	67
945	172	118	75
945.2	186	128	81
945.4	188	129	82
945.6	183	124	78
945.8	173	116	72
946	167	111	69
946.2	161	106	65
946.4	158	103	64
946.6	166	109	67
946.8	172	114	71
947	163	110	69
947.2	158	106	66
947.4	154	104	65
947.6	158	107	68
947.8	159	108	68
948	152	103	64
948.2	148	102	65
948.4	166	117	75
948.6	174	122	78
948.8	177	125	80
949	167	117	75
949.2	167	115	73
949.4	181	125	79
949.6	177	122	77
949.8	168	115	73
950	160	109	69
950.2	154	105	66
950.4	157	107	67
950.6	164	111	70
950.8	162	110	69
951	158	108	68
951.2	155	106	66
951.4	152	104	66
951.6	143	98	62
951.8	137	95	61
952	145	102	65
952.2	150	104	66
952.4	158	110	70
952.6	170	119	76
952.8	176	123	78
953	176	123	79
953.2	180	126	81
953.4	182	127	82
953.6	179	126	81
953.8	178	125	80
954	178	125	81
954.2	178	125	80
954.4	173	121	77
954.6	172	120	76
954.8	162	112	72
955	154	106	67
955.2	156	109	69
955.4	157	110	70
955.6	147	101	64
955.8	139	96	61
956	144	99	63
956.2	156	107	67
956.4	163	113	70
956.6	137	88	55
