/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
221.2	142	98	62
221.4	131	90	56
221.6	136	94	59
221.8	142	99	62
222	140	97	61
222.2	138	96	60
222.4	143	100	62
222.6	134	93	59
222.8	113	76	48
223	105	71	43
223.2	112	76	47
223.4	117	79	49
223.6	131	89	56
223.8	147	102	64
224	145	101	64
224.2	134	92	58
224.4	119	82	52
224.6	108	74	46
224.8	108	74	46
225	117	82	51
225.2	129	91	58
225.4	133	94	60
225.6	132	94	60
225.8	129	92	59
226	129	92	58
226.2	133	95	60
226.4	132	93	58
226.6	126	87	54
226.8	121	83	52
227	124	85	53
227.2	121	83	52
227.4	108	74	46
227.6	110	76	47
227.8	131	90	56
228	168	115	71
228.2	194	135	85
228.4	199	139	88
228.6	199	139	89
228.8	188	130	83
229	169	117	75
229.2	152	104	66
229.4	140	95	60
229.6	127	86	54
229.8	120	81	51
230	115	77	49
230.2	113	75	47
230.4	114	76	48
230.6	113	76	47
230.8	124	85	53
231	139	97	60
231.2	148	105	67
231.4	145	104	67
231.6	126	89	58
231.8	124	86	55
232	124	86	54
232.2	110	75	47
232.4	94	64	40
232.6	94	65	40
232.8	106	74	46
233	112	79	50
233.2	117	83	53
233.4	133	94	60
233.6	142	101	64
233.8	146	104	67
234	148	105	67
234.2	158	112	72
234.4	169	122	79
234.6	166	120	78
234.8	152	109	71
235	151	108	70
235.2	153	110	71
235.4	138	98	63
235.6	120	84	54
235.8	117	83	53
236	129	93	59
236.2	140	101	65
236.4	145	103	67
236.6	142	101	66
236.8	136	96	63
237	118	83	54
237.2	109	77	50
237.4	118	84	54
237.6	129	92	59
237.8	142	102	65
238	157	114	73
238.2	168	122	79
238.4	173	125	81
238.6	172	124	80
238.8	171	122	80
239	158	113	74
239.2	146	104	68
239.4	139	100	65
239.6	137	99	64
239.8	137	100	65
240	130	94	61
240.2	134	96	62
240.4	143	101	65
240.6	151	108	70
240.8	142	102	67
241	131	94	61
241.2	125	90	58
241.4	124	89	58
241.6	128	92	60
241.8	128	92	60
242	129	92	60
242.2	129	92	60
242.4	134	96	62
242.6	140	98	64
242.8	129	92	59
243	125	88	57
243.2	128	90	58
243.4	127	89	58
243.6	139	98	63
243.8	152	109	71
244	147	106	69
244.2	134	96	62
244.4	132	95	61
244.6	153	112	73
244.8	167	124	82
245	156	115	76
245.2	138	101	67
245.4	129	94	62
245.6	132	97	63
245.8	144	105	68
246	144	103	67
246.2	128	92	60
246.4	119	85	56
246.6	107	78	51
